,1. open,2. high,3. low,4. close,5. volume,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,date
24,1445.0,1459.88,1385.14,1390.0,7812953.0,2017-12-31,2018-02-01,0.11,0.09,0.02,22.2222,2018-02-01
25,980.33,982.9,968.55,972.43,3670282.0,2017-09-30,2017-10-26,0.03,0.03,0,0,2017-10-26
26,1069.55,1083.31,1040.18,1046.0,9905158.0,2017-06-30,2017-07-27,0.02,0.07,-0.05,-71.4286,2017-07-27
27,914.39,921.86,912.11,918.38,4255693.0,2017-03-31,2017-04-27,0.07,0.05,0.02,40,2017-04-27
28,836.59,842.49,828.26,839.95,7350492.0,2016-12-31,2017-02-02,0.08,0.07,0.01,14.2857,2017-02-02
29,831.24,831.72,815.43,818.36,7406385.0,2016-09-30,2016-10-27,0.03,0.04,-0.01,-25,2016-10-27
30,745.98,753.36,739.7,752.61,7617580.0,2016-06-30,2016-07-28,0.09,0.06,0.03,50,2016-07-28
31,615.54,626.8,599.2,602.0,7872605.0,2016-03-31,2016-04-28,0.05,0.03,0.02,66.6667,2016-04-28
32,608.37,638.06,597.55,635.35,14015171.0,2015-12-31,2016-01-28,0.05,0.08,-0.03,-37.5,2016-01-28
33,562.7,569.146,556.67,563.91,7779372.0,2015-09-30,2015-10-22,0.01,-0.01,0.02,200,2015-10-22
34,491.66,491.66,475.7,482.18,9374431.0,2015-06-30,2015-07-23,0.01,-0.01,0.02,200,2015-07-23
35,390.21,391.88,386.15,389.99,7979985.0,2015-03-31,2015-04-23,-0.01,-0.01,0,0,2015-04-23
36,304.73,312.8,299.33,311.78,8656567.0,2014-12-31,2015-01-29,0.02,0.01,0.01,100,2015-01-29
37,313.4,316.8,311.4,313.18,9038193.0,2014-09-30,2014-10-23,-0.05,-0.04,-0.01,-25,2014-10-23
38,359.98,364.85,358.52,358.61,7000000.0,2014-06-30,2014-07-24,-0.01,-0.01,0,0,2014-07-24
39,329.67,337.4,322.95,337.15,9293700.0,2014-03-31,2014-04-24,0.01,0.01,0,0,2014-04-24
40,393.77,406.25,387.7,403.01,10473900.0,2013-12-31,2014-01-30,0.03,0.03,0,0,2014-01-30
41,329.63,332.6499,326.75,332.21,5884700.0,2013-09-30,2013-10-24,-0.09,-0.09,0,0,2013-10-24
42,299.0,304.5,296.75,303.4,5405800.0,2013-06-30,2013-07-25,-0.02,0.05,-0.07,-140,2013-07-25
43,271.53,275.8,270.5,274.7,6116500.0,2013-03-31,2013-04-25,0.01,0.08,-0.07,-87.5,2013-04-25
44,275.35,275.46,258.35,260.35,10172600.0,2012-12-31,2013-01-29,0.01,0.01,0,0,2013-01-29
45,230.92,230.92,222.92,222.92,6741300.0,2012-09-30,2012-10-25,-0.01,-0.08,0.07,87.5,2012-10-25
46,220.0,221.45,214.95,220.01,6937400.0,2012-06-30,2012-07-26,0.01,0.02,-0.01,-50,2012-07-26
47,193.57,196.36,193.02,195.99,10234000.0,2012-03-31,2012-04-26,0.01,0.07,-0.06,-85.7143,2012-04-26
48,194.0,195.63,189.7,194.44,12772200.0,2011-12-31,2012-01-31,0.02,0.01,0.01,100,2012-01-31
49,238.59,239.01,225.89,227.15,14012600.0,2011-09-30,2011-10-25,0.01,0.01,0,0,2011-10-25
50,214.99,215.6,210.35,214.18,9863600.0,2011-06-30,2011-07-26,0.02,0.02,0,0,2011-07-26
51,186.27,186.42,180.738,182.3,11200000.0,2011-03-31,2011-04-26,0.02,0.03,-0.01,-33.3333,2011-04-26
52,177.48,185.0,177.31,184.45,14594400.0,2010-12-31,2011-01-27,0.05,0.04,0.01,25,2011-01-27
53,162.67,166.13,161.29,164.97,13482500.0,2010-09-30,2010-10-21,0.03,0.02,0.01,50,2010-10-21
54,118.71,120.87,118.02,120.07,15003400.0,2010-06-30,2010-07-22,0.02,0.03,-0.01,-33.3333,2010-07-22
55,147.01,151.09,145.88,150.09,15165800.0,2010-03-31,2010-04-22,0.03,0.03,0,0,2010-04-22
