,1. open,2. high,3. low,4. close,5. volume,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,date
38,18.81,18.97,18.2,18.25,10404700.0,2014-04-30,2014-05-06,0.05,0.04,0.01,25,2014-05-06
39,16.3,16.95,16.3,16.83,18613200.0,2014-01-31,2014-02-12,0.06,0.05,0.01,20,2014-02-12
40,14.85,14.89,14.52,14.545,13826900.0,2013-10-31,2013-11-07,0.05,0.05,0,0,2013-11-07
41,14.68,14.765,14.51,14.699,8642400.0,2013-07-31,2013-08-08,0.04,0.03,0.01,33.3333,2013-08-08
42,13.65,13.97,13.63,13.91,14170000.0,2013-04-30,2013-05-09,0.03,0.02,0.01,50,2013-05-09
43,12.44,12.665,12.33,12.37,21409900.0,2013-01-31,2013-02-13,0.07,0.06,0.01,16.6667,2013-02-13
44,12.75,13.08,12.65,12.68,20975600.0,2012-10-31,2012-11-08,0.08,0.07,0.01,14.2857,2012-11-08
45,14.25,14.74,14.23,14.71,20557500.0,2012-07-31,2012-08-09,0.06,0.04,0.02,50,2012-08-09
46,13.45,13.68,13.16,13.21,35878500.0,2012-04-30,2012-05-11,0.03,0.02,0.01,50,2012-05-11
47,16.39,16.9,16.13,16.17,27771400.0,2012-01-31,2012-02-15,0.05,0.05,0,0,2012-02-15
48,14.67,14.82,14.11,14.47,24762100.0,2011-10-31,2011-11-10,0.07,0.06,0.01,16.6667,2011-11-10
49,12.34,13.59,12.34,13.41,26969800.0,2011-07-31,2011-08-11,0.06,0.06,0,0,2011-08-11
50,19.8,20.52,19.75,20.5,30600000.0,2011-04-30,2011-05-12,0.06,0.05,0.01,20,2011-05-12
51,22.85,23.71,22.77,23.38,32959100.0,2011-01-31,2011-02-16,0.06,0.04,0.02,50,2011-02-16
52,12.44,12.82,12.27,12.611,27249500.0,2010-10-31,2010-11-11,0.04,0.04,0,0,2010-11-11
53,8.72,9.16,8.65,8.961,33589600.0,2010-07-31,2010-08-12,0.01,0.03,-0.02,-66.6667,2010-08-12
54,14.62,15.29,14.51,14.65,31300000.0,2010-04-30,2010-05-13,0.06,0.05,0.01,20,2010-05-13
55,17.89,17.9,17.325,17.84,21914000.0,2010-01-31,2010-02-17,0.06,0.05,0.01,20,2010-02-17
56,12.12,12.39,12.08,12.27,23878900.0,2009-10-31,2009-11-05,0.05,0.03,0.02,66.6667,2009-11-05
57,13.45,13.69,13.043,13.12,23939700.0,2009-07-31,2009-08-06,0.02,-0.01,0.03,300,2009-08-06
58,11.82,11.82,10.58,10.73,32229900.0,2009-04-30,2009-05-07,-0.02,-0.03,0.01,33.3333,2009-05-07
59,9.74,9.86,9.14,9.32,28241600.0,2009-01-31,2009-02-10,-0.04,-0.02,-0.02,-100,2009-02-10
60,8.01,8.31,7.6,7.62,19948400.0,2008-10-31,2008-11-06,0.05,0.03,0.02,66.6667,2008-11-06
61,11.32,11.35,10.91,11.07,35271700.0,2008-07-31,2008-08-12,0.03,0.03,0,0,2008-08-12
62,22.18,22.25,21.01,21.95,34000000.0,2008-04-30,2008-05-08,0.09,0.1,-0.01,-10,2008-05-08
63,26.2,27.1,25.92,27.02,18557800.0,2008-01-31,2008-02-13,0.12,0.12,0,0,2008-02-13
64,35.75,36.4,32.81,33.8375,24920600.0,2007-10-31,2007-11-08,0.11,0.09,0.02,22.2222,2007-11-08
65,45.9,47.4,44.85,46.13,20863867.0,2007-07-31,2007-08-09,0.09,0.07,0.02,28.5714,2007-08-09
66,33.58,34.02,32.53,32.82,13376400.0,2007-04-30,2007-05-10,0.07,0.06,0.01,16.6667,2007-05-10
67,33.91,34.27,33.57,34.0,14162200.0,2007-01-31,2007-02-13,0.09,0.07,0.02,28.5714,2007-02-13
68,35.305,36.2,34.99,35.29,20129267.0,2006-10-31,2006-11-09,0.07,0.06,0.01,16.6667,2006-11-09
69,24.06,24.3,23.65,24.16,17869000.0,2006-07-31,2006-08-10,0.0375,None,None,None,2006-08-10
70,29.82,30.1,28.24,28.47,20018467.0,2006-04-30,2006-05-11,0.05,0.05,0,0,2006-05-11
71,45.83,47.3,45.51,47.2,10882400.0,2006-01-31,2006-02-16,0.04,0.04,0,0,2006-02-16
72,33.345,35.0,32.97,34.78,6824000.0,2005-10-31,2005-11-09,0.04,0.03,0.01,33.3333,2005-11-09
73,27.86,28.3,27.59,28.25,5846300.0,2005-07-31,2005-08-11,0.03,0.03,0,0,2005-08-11
74,22.3,23.09,22.28,22.79,6963200.0,2005-04-30,2005-05-12,0.06,0.02,0.04,200,2005-05-12
75,26.09,26.1,25.31,25.51,8478400.0,2005-01-31,2005-02-17,0.03,0.02,0.01,50,2005-02-17
76,15.11,15.6,14.92,15.41,8296200.0,2004-10-31,2004-11-04,0.02,0.01,0.01,100,2004-11-04
77,15.05,15.2,14.3,14.56,7166000.0,2004-07-31,2004-08-05,0.02,0.01,0.01,100,2004-08-05
78,21.5,22.08,21.05,21.91,5927900.0,2004-04-30,2004-05-06,0.02,0.01,0.01,100,2004-05-06
79,24.12,24.25,23.151,23.52,8124100.0,2004-01-31,2004-02-12,0.03,0.01,0.02,200,2004-02-12
80,18.41,18.5,17.84,18.17,9794000.0,2003-10-31,2003-11-06,0.01,0.01,0,0,2003-11-06
81,19.52,19.8,19.04,19.3,8669500.0,2003-07-31,2003-08-07,0.01,0.01,0,0,2003-08-07
82,15.85,16.7,15.65,16.06,16312100.0,2003-04-30,2003-05-08,0.01,0.01,0,0,2003-05-08
83,9.92,9.97,9.65,9.87,7409700.0,2003-01-31,2003-02-13,0.01,0.02,-0.01,-50,2003-02-13
84,15.76,15.76,14.46,14.55,13838000.0,2002-10-31,2002-11-07,0.01,0.01,0,0,2002-11-07
85,9.98,10.49,9.88,10.29,9501000.0,2002-07-31,2002-08-15,0.01,0.01,0,0,2002-08-15
86,36.86,38.28,36.8,38.05,12899900.0,2002-04-30,2002-05-22,0.04,0.04,0,0,2002-05-22
87,61.92,63.45,61.14,62.16,10214100.0,2002-01-31,2002-02-14,0.04,0.03,0.01,33.3333,2002-02-14
88,51.26,51.94,48.25,49.75,15959900.0,2001-10-31,2001-11-08,0.02,0.02,0,0,2001-11-08
89,86.59,87.15,84.76,85.85,9671500.0,2001-07-31,2001-08-14,0.02,0.02,0,0,2001-08-14
90,91.52,93.8,88.0,92.9,4374900.0,2001-04-30,2001-05-22,0.02,0.02,0,0,2001-05-22
91,54.25,57.38,53.88,56.44,4618800.0,2001-01-31,2001-02-15,0.01,0.02,-0.01,-50,2001-02-15
92,65.25,68.5,59.13,62.19,2352200.0,2000-10-31,2000-11-09,0.01,0.01,0,0,2000-11-09
93,79.81,81.19,77.0,78.19,1935300.0,2000-07-31,2000-08-21,0.01,0.01,0,0,2000-08-21
94,89.0,96.69,88.0,94.0,763400.0,2000-04-30,2000-05-16,0.01,0.01,0,0,2000-05-16
95,58.13,58.19,53.38,55.75,938500.0,2000-01-31,2000-02-15,0.01,0.01,0,0,2000-02-15
96,36.44,36.75,35.5,35.81,491600.0,1999-10-31,1999-11-18,0.01,0.02,-0.01,-50,1999-11-18
