,1. open,2. high,3. low,4. close,5. volume,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,date
33,70.0,70.5,69.24,69.48,21313476.0,2015-07-31,2015-08-18,1.08,1.12,-0.04,-3.5714,2015-08-18
34,78.18,78.36,76.23,76.43,22458581.0,2015-04-30,2015-05-19,1.03,1.04,-0.01,-0.9615,2015-05-19
35,84.5,84.8,83.39,83.52,18642104.0,2015-01-31,2015-02-19,1.61,1.53,0.08,5.2288,2015-02-19
36,80.96,83.06,80.86,82.94,22812356.0,2014-10-31,2014-11-13,1.15,1.12,0.03,2.6786,2014-11-13
37,73.89,74.43,73.61,74.39,6136300.0,2014-07-31,2014-08-14,1.21,1.21,0,0,2014-08-14
38,76.28,77.44,76.25,76.83,13035800.0,2014-04-30,2014-05-15,1.1,1.15,-0.05,-4.3478,2014-05-15
39,73.05,74.0,72.81,73.52,13079100.0,2014-01-31,2014-02-20,1.6,1.59,0.01,0.6289,2014-02-20
40,77.75,79.53,77.68,79.08,9302100.0,2013-10-31,2013-11-14,1.14,1.13,0.01,0.885,2013-11-14
41,74.46,75.08,74.03,74.41,13221500.0,2013-07-31,2013-08-15,1.25,1.25,0,0,2013-08-15
42,78.1,78.86,77.34,78.5,12128600.0,2013-04-30,2013-05-16,1.14,1.15,-0.01,-0.8696,2013-05-16
43,70.0,71.47,69.72,70.26,20413100.0,2013-01-31,2013-02-21,1.67,1.57,0.1,6.3694,2013-02-21
44,69.66,69.69,67.85,68.72,23048900.0,2012-10-31,2012-11-15,1.08,1.07,0.01,0.9346,2012-11-15
45,72.58,72.75,71.78,72.15,17813200.0,2012-07-31,2012-08-16,1.18,1.17,0.01,0.8547,2012-08-16
46,61.34,62.5,61.25,61.68,29292400.0,2012-04-30,2012-05-17,1.09,1.04,0.05,4.8077,2012-05-17
47,60.33,60.5,59.67,60.07,23894800.0,2012-01-31,2012-02-21,1.44,1.45,-0.01,-0.6897,2012-02-21
48,57.97,58.05,57.23,57.46,16005900.0,2011-10-31,2011-11-15,0.97,0.98,-0.01,-1.0204,2011-11-15
