,Quarter,1. open,2. high,3. low,4. close,5. volume
55,2013Q3,173186.765625,173960.65625,172197.859375,173021.84375,10290.625
56,2013Q4,173414.09375,174224.1875,172614.109375,173485.65625,445.3125
57,2014Q1,175581.34426229508,176451.50819672132,174474.9180327869,175515.2131147541,447.5409836065574
58,2014Q2,189871.04761904763,190659.19047619047,188942.7619047619,189817.55555555556,288.8888888888889
59,2014Q3,199728.46875,200668.46734375,198789.93953125,199815.625,286.21875
60,2014Q4,216550.59125,217733.05171875,215206.9284375,216493.78375,392.921875
61,2015Q1,221462.62704918033,222377.82147540982,219796.96032786884,221029.27836065574,322.0327868852459
62,2015Q2,214819.1776190476,215615.1419047619,213759.25190476188,214536.2638095238,239.95238095238096
63,2015Q3,206228.84375,207208.934375,204778.44578125,206031.66078125,308.578125
64,2015Q4,201417.60875,202603.22921875,199983.14890625,201277.38671875,278.078125
65,2016Q1,199151.41557377047,200599.0,197937.47737704916,199512.92491803278,406.21311475409834
66,2016Q2,214256.1071875,215428.00515625,213162.6784375,214456.1715625,253.234375
67,2016Q3,219395.88046875,220193.62015625,218314.71296875,219349.64796875,279.59375
68,2016Q4,230531.246984127,231865.66492063494,229542.39031746032,230816.06666666665,370.46031746031747
69,2017Q1,251107.12322580646,251947.21838709677,249689.535,250864.50467741935,346.7258064516129
70,2017Q2,249836.4576190476,250663.356984127,248577.28412698413,249666.8892063492,313.5079365079365
71,2017Q3,265166.49190476193,266324.7934920635,264113.30904761906,265381.9174603175,290.8412698412698
72,2017Q4,284811.4492063492,286132.61206349207,283351.5715873016,284799.4888888889,264.85714285714283
73,2018Q1,308863.88409836066,311314.1063934426,305411.5993442623,308211.4652459016,417.8032786885246
74,2018Q2,293530.573125,295022.58015625,291116.98,292921.40421875,294.109375
75,2018Q3,309266.35365079367,311045.11825396825,308221.6080952381,309674.9698412699,285.14285714285717
76,2018Q4,313916.76650793647,316676.50682539685,310229.94793650793,313083.4874603175,376.44444444444446
77,2019Q1,303056.75524590164,304730.2585245902,300943.5636065574,302764.90786885243,303.4590163934426
78,2019Q2,310467.23333333334,312435.6982539682,308981.52634920634,310901.96349206346,251.82539682539684
79,2019Q3,309573.54609375,311423.66078125,307790.0021875,309458.183125,244.171875
80,2019Q4,325411.1490625,326898.3171875,324241.9615625,325730.68828125,290.859375
81,2020Q1,318538.10241935484,322264.82499999995,315053.88338709675,318723.7585483871,483.5967741935484
82,2020Q2,274897.57285714283,276939.30571428576,271565.9312698413,274034.31888888887,566.4285714285714
83,2020Q3,306318.269375,308997.311640625,304456.50734375,306852.9346875,392.40625
84,2020Q4,330682.80515625,332918.69645625,328540.553203125,330761.824375,341.8125
85,2021Q1,366479.13344262296,369580.6541803279,363767.0613114754,366657.40573770495,1332.4918032786886
86,2021Q2,420417.1541269841,422755.2406984127,417595.63022222224,420338.79476190475,1723.984126984127
87,2021Q3,423150.1334375,425442.48834375,420498.22328125,422631.33375,1111.765625
88,2021Q4,431993.685390625,434975.946171875,428718.03140625,431815.832734375,1680.90625
89,2022Q1,485346.3209677419,489834.8175,480147.96782258066,485492.48637096776,2227.064516129032
90,2022Q2,474016.6939032258,477279.48817741935,467147.85379032255,471172.89787096775,2526.983870967742
91,2022Q3,429145.728125,432108.410296875,423988.1727796875,428128.3955625,2480.5625
92,2022Q4,449239.04946984124,453678.3991587302,443495.6411111111,448761.7192857143,2970.1111111111113
93,2023Q1,467471.973516129,470899.08338387095,462634.57088709675,466851.0514516129,4465.822580645161
94,2023Q2,497614.72208387096,502023.47852258064,493577.10548387095,497809.4026612903,6053.790322580645
95,2023Q3,539289.8464507936,542850.8850920635,535425.1580158729,538988.9237301587,7703.253968253968
96,2023Q4,534294.6000603174,538037.198647619,530115.9867460317,533852.1477587301,8032.0
97,2024Q1,577461.5471351352,581648.2537081081,574046.8372405405,578981.8056756756,10723.972972972973
