,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,Quarter
26,USD,4564000000,456000000,None,3105000000,1210000000,505000000,458000000,145000000,1051000000,2014000000,-445000000,-3081000000,-710000000,1289000000,1289000000,None,1069000000,1069000000,None,31000000,0,None,-1258000000,None,1038000000,-11000000,2014000000,2017Q2
27,USD,1864000000,None,None,-1043000000,-584000000,499000000,476000000,30000000,-684000000,7553000000,-468000000,-2446000000,710000000,2345000000,2345000000,None,837000000,837000000,None,82000000,0,None,-2263000000,None,-1050000000,-1000000,1744000000,2017Q1
28,USD,1042000000,None,None,-559000000,946000000,496000000,448000000,17000000,958000000,1969000000,-441000000,-1003000000,0,2094000000,2094000000,None,849000000,849000000,None,15000000,1970000000,None,-2079000000,None,-402000000,-27000000,1969000000,2016Q4
29,USD,3241000000,None,None,-446000000,-700000000,492000000,372000000,34000000,-824000000,2441000000,-353000000,-2083000000,0,1284000000,1284000000,None,856000000,856000000,None,92000000,0,None,-1192000000,None,805000000,-44000000,2441000000,2016Q3
30,USD,3636000000,None,None,2702000000,1410000000,486000000,325000000,57000000,1319000000,7791000000,-321000000,-2338000000,-350000000,1157000000,1157000000,None,862000000,862000000,None,29000000,2989000000,None,-1128000000,None,977000000,64000000,1803000000,2016Q2
31,USD,2007000000,None,None,-776000000,-770000000,479000000,420000000,-39000000,-630000000,7156000000,-405000000,-2364000000,350000000,1957000000,1957000000,None,744000000,744000000,None,79000000,0,None,-1878000000,None,-762000000,-62000000,1471000000,2016Q1
32,USD,1432000000,None,None,-564000000,329000000,469000000,378000000,-12000000,348000000,7565000000,-2024000000,-1283000000,0,1958000000,1958000000,None,754000000,754000000,None,15000000,1499000000,None,-1943000000,None,-1875000000,-21000000,1725000000,2015Q4
33,USD,2530000000,None,None,-472000000,-417000000,461000000,383000000,-115000000,-370000000,8365000000,-236000000,-139000000,0,1960000000,1960000000,None,764000000,764000000,None,87000000,2492000000,None,-1873000000,None,2155000000,-46000000,2234000000,2015Q3
34,USD,3404000000,None,None,2963000000,1575000000,454000000,322000000,347000000,1198000000,7179000000,-317000000,-2001000000,-290000000,1125000000,1125000000,None,769000000,769000000,None,47000000,0,None,-1078000000,None,1086000000,18000000,1579000000,2015Q2
35,USD,1995000000,None,None,-784000000,-1013000000,441000000,443000000,-140000000,-851000000,6582000000,-504000000,-1860000000,290000000,1422000000,1422000000,None,618000000,618000000,None,74000000,0,None,-1348000000,None,-369000000,-89000000,1379000000,2015Q1
36,USD,962000000,None,None,-634000000,373000000,449000000,368000000,-18000000,386000000,7185000000,-264000000,-2715000000,0,2078000000,2078000000,None,627000000,627000000,None,30000000,0,None,-2048000000,None,-2017000000,-18000000,1537000000,2014Q4
37,USD,2717000000,None,None,-450000000,-764000000,449000000,344000000,-194000000,-683000000,8161000000,-223000000,-790000000,0,2250000000,2250000000,None,639000000,639000000,None,79000000,1981000000,None,-2171000000,None,1704000000,1000000,2050000000,2014Q3
38,USD,2568000000,None,None,2426000000,1649000000,447000000,287000000,433000000,1272000000,6885000000,-280000000,-1706000000,0,1250000000,1250000000,None,646000000,646000000,None,69000000,0,None,-1181000000,None,582000000,0,1379000000,2014Q2
39,USD,1647000000,None,None,-283000000,-388000000,440000000,425000000,-204000000,-228000000,6192000000,-562000000,-3972000000,None,2100000000,2100000000,None,544000000,544000000,None,77000000,0,None,-2023000000,None,-2887000000,-37000000,1013000000,2014Q1
40,USD,1263000000,None,None,-437000000,193000000,440000000,365000000,66000000,264000000,6798000000,-349000000,528000000,None,2100000000,2100000000,None,556000000,556000000,None,14000000,3228000000,None,-2086000000,None,1442000000,-8000000,1351000000,2013Q4
41,USD,2021000000,None,None,-948000000,-727000000,442000000,321000000,-106000000,-684000000,7721000000,-320000000,-2619000000,None,2150000000,2150000000,None,566000000,566000000,None,86000000,0,None,-2064000000,None,-918000000,0,1795000000,2013Q3
42,USD,2697000000,None,None,2480000000,1428000000,435000000,278000000,259000000,1103000000,6679000000,-276000000,-589000000,None,2196000000,2196000000,None,577000000,577000000,None,64000000,1994000000,None,-2132000000,None,1832000000,11000000,1226000000,2013Q2
43,USD,1591000000,None,None,-473000000,-464000000,427000000,425000000,-245000000,-246000000,6366000000,-445000000,-1199000000,None,654000000,654000000,None,431000000,431000000,None,87000000,0,None,-567000000,None,-53000000,-7000000,1021000000,2013Q1
44,USD,1123000000,None,None,-612000000,-140000000,424000000,336000000,133000000,16000000,947000000,-406000000,-984000000,None,700000000,700000000,None,432000000,432000000,None,144000000,0,None,-556000000,None,-267000000,11000000,947000000,2012Q4
45,USD,1771000000,None,None,-817000000,-651000000,423000000,323000000,1000000,-624000000,1532000000,-360000000,-1768000000,None,1499000000,1499000000,None,436000000,436000000,None,141000000,0,None,-1358000000,None,-357000000,-24000000,1532000000,2012Q3
46,USD,2490000000,None,None,2628000000,1548000000,410000000,228000000,254000000,1204000000,1035000000,-221000000,-1083000000,None,1131000000,1131000000,None,444000000,444000000,None,412000000,0,None,-719000000,None,1186000000,18000000,1035000000,2012Q2
47,USD,960000000,None,None,-1092000000,-812000000,417000000,401000000,-139000000,-371000000,5597000000,-446000000,-751000000,None,414000000,414000000,None,445000000,445000000,None,215000000,0,None,-199000000,None,-237000000,-10000000,774000000,2012Q1
48,USD,1204000000,None,None,-226000000,58000000,416000000,351000000,71000000,50000000,934000000,-241000000,-1257000000,None,805000000,805000000,None,389000000,389000000,None,8000000,0,None,-797000000,None,-294000000,-23000000,934000000,2011Q4
49,USD,2389000000,None,None,-496000000,-1026000000,425000000,270000000,-122000000,-925000000,1363000000,-258000000,-1376000000,None,950000000,950000000,None,395000000,395000000,None,49000000,0,None,-901000000,None,755000000,-10000000,1363000000,2011Q3
50,USD,2098000000,None,None,2219000000,1365000000,424000000,199000000,360000000,990000000,5828000000,-184000000,-664000000,None,1301000000,1301000000,None,403000000,403000000,None,34000000,1994000000,None,-1267000000,None,1250000000,11000000,812000000,2011Q2
51,USD,599000000,None,None,-1176000000,-807000000,426000000,407000000,-217000000,-390000000,5243000000,-388000000,-1085000000,None,634000000,634000000,None,385000000,385000000,None,48000000,None,None,-586000000,None,-874000000,-6000000,587000000,2011Q1
52,USD,623000000,None,None,-434000000,251000000,426000000,282000000,73000000,219000000,834000000,-261000000,-1336000000,None,765000000,765000000,None,391000000,391000000,None,4000000,None,None,-761000000,None,-974000000,4000000,834000000,2010Q4
53,USD,1324000000,None,None,-1140000000,-826000000,428000000,240000000,-121000000,-701000000,6582000000,-223000000,-1137000000,None,701000000,701000000,None,394000000,394000000,None,41000000,None,None,-660000000,None,-36000000,-5000000,1192000000,2010Q3
54,USD,2039000000,None,None,2481000000,1723000000,438000000,167000000,367000000,1227000000,5794000000,-140000000,-893000000,None,508000000,508000000,None,399000000,399000000,None,11000000,None,None,-497000000,None,1006000000,9000000,725000000,2010Q2
55,USD,461000000,None,None,-1188000000,-684000000,442000000,398000000,-216000000,-653000000,5013000000,-370000000,-1404000000,None,115000000,115000000,None,381000000,381000000,None,36000000,None,None,-79000000,None,-1313000000,15000000,342000000,2010Q1
56,USD,1336000000,None,None,-43000000,-171000000,453000000,215000000,-29000000,34000000,689000000,-171000000,-1570000000,None,None,None,None,382000000,382000000,None,3000000,None,None,-95000000,None,-405000000,17000000,689000000,2009Q4
57,USD,1601000000,None,None,None,None,458000000,181000000,-69000000,740000000,1116000000,-131000000,-572000000,None,None,None,None,381000000,381000000,None,32000000,None,None,32000000,None,898000000,-5000000,1116000000,2009Q3
