,Quarter,1. open,2. high,3. low,4. close,5. volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportedCurrency_x,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome_x,reportedCurrency_y,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome_y
66,2012Q4,69.47516129032257,70.01399838709678,68.9802064516129,69.58064516129032,1294232.2580645161,0.87,0.87,0,0,USD,395800000,3045800000,2650000000,1644200000,395800000,971100000,183000000,1005800000,1500000,-64000000,None,64000000,None,None,119700000,59000000,330200000,98800000,64000000,234500000,124400000,395800000,453200000,231400000,USD,17572300000,4892000000,1157800000,1157800000,1088100000,2225100000,12687300000,2409100000,2079000000,9964600000,4044100000,5920500000,158900000,None,None,215800000,306600000,11412200000,3052700000,879700000,None,805800000,638200000,9615200000,None,6071300000,167600000,5903700000,3409000000,771000000,1402900000,6077000000,2075100000,4020600000,342100000,294700000,USD,234500000,523600000,None,51700000,-77600000,180900000,195900000,15000000,-25400000,234500000,-73000000,422200000,2300000,16800000,16800000,None,126300000,126300000,None,None,499600000,None,33200000,None,234500000,2400000,231400000
67,2013Q1,75.42383333333333,75.98619166666667,74.96079166666667,75.56033333333333,1050826.6666666667,0.89,0.89,0,0,USD,136200000,2807100000,2670900000,1539700000,261700000,1021000000,None,1206700000,3500000,-65000000,None,65000000,-23400000,None,122600000,60500000,198800000,39200000,65000000,161000000,119400000,261700000,324300000,159600000,USD,17296200000,4603400000,824300000,824300000,1145300000,2182100000,12699900000,2415500000,2095000000,9931000000,4022500000,5908500000,163500000,None,None,250400000,346300000,11063700000,2684200000,845000000,None,497100000,328700000,9647900000,None,5737100000,168400000,None,6234200000,828600000,1423200000,6161700000,2094700000,4112300000,343600000,296000000,USD,186000000,12300000,None,-103200000,74500000,185300000,135500000,-30100000,54200000,161000000,-220800000,-293500000,-310000000,22200000,22200000,None,4500000,4500000,None,None,200000,None,9800000,None,-667000000,-5200000,159600000
68,2013Q2,84.37015625,84.972125,83.8000953125,84.4175,1171085.9375,0.6,0.59,0.01,1.6949,USD,208900000,3269000000,3060100000,1810200000,352300000,1101700000,None,1300300000,2600000,-68800000,None,68800000,0,None,127800000,74600000,283400000,70300000,68800000,215800000,146100000,352300000,426800000,213100000,USD,19654300000,4698200000,375200000,375200000,1373300000,2436300000,14965900000,2779100000,2141600000,11807300000,4945000000,6862300000,184500000,None,None,309800000,369700000,12915600000,3245500000,912000000,None,872900000,704500000,11328400000,None,6635300000,168400000,None,7508200000,935600000,1803200000,6667500000,1960400000,4255900000,344100000,301400000,USD,215800000,5600000,None,-116500000,80800000,74600000,145800000,25100000,18400000,215800000,21100000,851300000,377600000,153500000,153500000,None,67900000,67900000,None,None,899900000,None,-129300000,None,236900000,500000,213100000
69,2013Q3,92.87421875,93.528090625,92.3376203125,93.029375,923070.3125,0.86,0.84,0.02,2.381,USD,327800000,3414800000,3087000000,1866100000,476000000,1114100000,None,1273400000,2200000,-69200000,None,69200000,100000,None,130900000,79000000,409800000,101800000,69200000,307200000,188800000,476000000,558000000,308000000,USD,19613600000,4796000000,394400000,394400000,1378100000,2488900000,14864300000,2786100000,2211100000,11663900000,4851100000,6812800000,182800000,None,None,338000000,367600000,12767700000,3200600000,926600000,None,713200000,542300000,11225400000,None,6879100000,170900000,6708200000,7250500000,985900000,1787400000,6776400000,2009700000,4494700000,344600000,301300000,USD,307200000,8300000,None,149900000,116800000,79000000,167800000,75300000,19700000,307200000,-158600000,-363500000,-158200000,52800000,52800000,None,71200000,71200000,None,None,0,None,-31300000,None,307200000,5100000,308000000
70,2013Q4,103.91140625,104.602571875,103.169490625,103.95171875,931907.8125,1.04,1.03,0.01,0.9709,USD,470600000,3559500000,3088900000,1945200000,470600000,1123500000,188000000,1125100000,2200000,-69800000,None,69800000,-1800000,None,132900000,78900000,400500000,113400000,69800000,289600000,668000000,470600000,549200000,287100000,USD,19636500000,4698400000,339200000,339200000,1321900000,2568000000,15060000000,2882000000,2270600000,11648200000,4785300000,6862900000,191400000,None,None,306300000,407900000,12227100000,3488700000,1021900000,None,861000000,355700000,10502800000,None,7054100000,505300000,6548800000,6904500000,953800000,1899300000,7344300000,2086600000,4699000000,345100000,301100000,USD,289600000,703500000,None,119800000,-25500000,214400000,213200000,77100000,-61800000,289600000,-200400000,-486900000,-187700000,79100000,79100000,None,74500000,74500000,None,None,0,None,-59800000,None,708200000,1500000,287100000
71,2014Q1,104.67754098360656,105.5086737704918,103.9661344262295,104.74983606557376,1167447.5409836066,1.04,1.05,-0.01,-0.9524,USD,205500000,3269300000,3063800000,1819200000,350900000,1136900000,None,1311900000,2200000,-67300000,None,67300000,None,None,136500000,78100000,282300000,91300000,67300000,194500000,122900000,350900000,427700000,191000000,USD,19563400000,4703000000,300300000,300300000,1367100000,2519600000,14979800000,2889000000,2374200000,11557900000,4701300000,6856600000,190800000,None,None,345200000,413500000,12290300000,3904400000,951200000,None,1507400000,752400000,10143200000,None,7206600000,755000000,6451600000,7204000000,881800000,1893400000,7210500000,2326800000,4807200000,346400000,300200000,USD,214400000,22900000,None,-127400000,61400000,216800000,150900000,-38300000,54800000,194500000,-174400000,-73100000,397500000,242600000,242600000,None,85900000,85900000,None,None,0,None,-218600000,None,-482400000,-5800000,191000000
72,2014Q2,107.1688888888889,107.78339682539684,106.44038888888889,107.1668253968254,867323.8095238095,0.74,0.74,0,0,USD,366900000,3499600000,3132700000,1909400000,512200000,1152700000,None,1291900000,2400000,-68600000,None,68600000,None,None,139600000,76700000,442400000,131000000,68600000,315000000,333900000,512200000,587700000,311400000,USD,19613800000,4772100000,187000000,187000000,1414300000,2637300000,14958900000,2938900000,2468400000,11498800000,4635900000,6862900000,194200000,None,None,366200000,404000000,12153700000,3966900000,1004500000,None,1589700000,834800000,9909400000,None,7048900000,754900000,6294000000,7128800000,836500000,1850300000,7402900000,2420700000,5036300000,346700000,299600000,USD,315000000,8000000,None,-21700000,160000000,76700000,186300000,117700000,52400000,315000000,15200000,-246800000,80100000,94000000,94000000,None,86400000,86400000,None,None,0,None,-87100000,None,-74400000,900000,311400000
73,2014Q3,112.5315625,113.0989828125,112.00029375,112.57875,752768.890625,1.03,1.02,0.01,0.9804,USD,437100000,3628800000,3191700000,1970600000,571400000,1145900000,None,1221100000,2800000,-66100000,None,66100000,-200000,None,141300000,75200000,503600000,138700000,66100000,369400000,339700000,571400000,644900000,364900000,USD,19685800000,4871800000,197800000,197800000,1464400000,2694400000,14927700000,2978500000,2546800000,11432200000,4583100000,6849100000,None,None,None,349100000,403300000,11919500000,4455000000,1047300000,None,1922800000,667000000,9142900000,None,7385600000,1255800000,6129800000,6796800000,855900000,1805500000,7697900000,2423300000,5318700000,347200000,300100000,USD,369400000,10800000,None,221800000,162500000,75200000,183400000,84100000,61500000,369400000,52500000,-393800000,-167400000,4400000,4400000,None,86600000,86600000,None,None,0,None,16200000,None,10800000,-2900000,364900000
74,2014Q4,109.57359375,110.438965625,108.539115625,109.39296875,1445208.75,1.21,1.2,0.01,0.8333,USD,558800000,3680800000,3122000000,1979900000,520500000,1142100000,197000000,1142100000,4000000,-66000000,None,66000000,3400000,None,140700000,75000000,450700000,115200000,66000000,343300000,-240400000,520500000,591700000,335500000,USD,19427400000,4853000000,209600000,209600000,1466900000,2626700000,14638600000,3050600000,2490800000,11173800000,4456800000,6717000000,57400000,None,None,366600000,350000000,12045300000,4367900000,1162400000,None,1704800000,949900000,9209500000,None,6353200000,754900000,5598300000,3375000000,851700000,1645500000,7315900000,2509500000,5555100000,347700000,299900000,USD,343300000,791700000,None,237000000,108600000,218000000,273300000,11900000,42100000,343300000,-283400000,-357300000,289400000,87600000,87600000,None,85500000,85500000,None,None,0,None,-73700000,None,11800000,-18100000,335500000
75,2015Q1,109.35704918032786,110.27672131147541,108.54398688524591,109.57803278688525,1583435.262295082,1.2,1.2,0,0,USD,257200000,3232400000,2975200000,1765300000,387700000,1136800000,None,1209900000,2700000,-65200000,None,65200000,None,None,142100000,73100000,323200000,89800000,65200000,235400000,-2200000,387700000,461500000,233400000,USD,19252000000,4921800000,237900000,237900000,1503000000,2677800000,14378500000,3115100000,2571400000,10855700000,4326700000,6529000000,137000000,None,None,461200000,359400000,12316000000,4121000000,950600000,None,1797500000,1281600000,9709000000,None,6440500000,515900000,5924600000,7206200000,866700000,1645500000,6871000000,2862000000,5690400000,348700000,297800000,USD,212200000,19700000,None,-211200000,141300000,217200000,173600000,12400000,83600000,235400000,-169000000,85900000,335700000,412600000,412600000,None,99800000,99800000,None,None,599700000,None,-389600000,None,28300000,-1100000,233400000
76,2015Q2,114.96730158730158,115.64570634920635,114.27724126984127,114.98523809523809,1084687.9682539683,0.8,0.81,-0.01,-1.2346,USD,367000000,3325600000,2958600000,1806500000,437800000,1079200000,None,1152100000,2300000,-63500000,None,63500000,None,None,143700000,72900000,369800000,67800000,63500000,308800000,294400000,437800000,506200000,302000000,USD,19217300000,4971100000,310600000,310600000,1462700000,2723000000,14295800000,3123400000,2667400000,10744400000,4231000000,6513400000,145900000,None,None,538400000,378400000,12337800000,4446100000,961000000,None,2185300000,1394900000,9388400000,None,6705000000,790400000,5914600000,7309500000,828900000,1627900000,6811600000,3238900000,5894700000,349300000,295100000,USD,308800000,11700000,None,-77100000,-39100000,72900000,168200000,-34600000,-17600000,308800000,-4800000,-269900000,113900000,313700000,313700000,None,102700000,102700000,None,None,0,None,-287700000,None,72700000,-10500000,302000000
77,2015Q3,111.9546875,112.87725,110.96899375,111.898125,1238279.90625,1.08,1.08,0,0,USD,421500000,3384800000,2963300000,1820000000,413000000,1070700000,None,1143300000,4000000,-61600000,None,61600000,30200000,None,136900000,72600000,363100000,105300000,61600000,250100000,48300000,413000000,497300000,257800000,USD,18883300000,4642400000,184800000,184800000,1439200000,2570500000,14265700000,3212200000,2757600000,10671600000,4172400000,6499200000,84100000,None,None,333400000,357100000,12040700000,3556600000,1034500000,None,1009100000,722400000,9934300000,None,6327100000,286700000,6040400000,6762800000,944300000,1583600000,6783200000,3239500000,6055000000,349500000,295300000,USD,250100000,4800000,None,358300000,66600000,72600000,234500000,33800000,11400000,250100000,-114800000,-638800000,-677000000,1500000,1500000,None,99100000,99100000,None,None,625300000,None,7300000,None,-125800000,-36500000,257800000
78,2015Q4,117.40718749999999,118.47735625,116.5370484375,117.61578125,1271001.015625,1.28,1.28,0,0,USD,521500000,3412000000,2890500000,1831700000,322800000,1058800000,191000000,1058800000,1100000,-63400000,None,63400000,0,None,136800000,73400000,246500000,37600000,63400000,222900000,190200000,322800000,383300000,208900000,USD,18641700000,4447500000,92800000,92800000,1388200000,2527800000,14222200000,3228300000,2727200000,10600000000,4109200000,6490800000,101400000,None,None,326300000,365900000,11661300000,4764400000,1049600000,None,2205300000,635900000,8275500000,None,7399000000,1569400000,5829600000,2959000000,948300000,238400000,6909900000,3263500000,6160300000,350300000,296000000,USD,-736400000,791900000,None,-7700000,-27100000,212400000,238900000,12400000,-28800000,222900000,-366700000,-328100000,-84700000,27300000,27300000,None,99100000,99100000,None,None,-1300000,None,-2000000,None,-92000000,-1800000,208900000
79,2016Q1,106.16245901639344,107.35611967213114,104.95933934426229,106.24229508196721,1618698.7540983607,1.22,1.24,-0.02,-1.6129,USD,236300000,3028500000,2792200000,1631400000,371500000,1088200000,None,1160800000,2800000,-68900000,None,68900000,None,None,139600000,72600000,304200000,73400000,68900000,232000000,111200000,371500000,445700000,230800000,USD,18341800000,4194900000,268500000,268500000,1386100000,2372100000,14176500000,3227000000,2828000000,10506000000,4031100000,6474900000,63400000,None,None,291500000,413900000,11689700000,4159500000,986100000,None,1756600000,306100000,7530200000,None,7983800000,1450500000,6533300000,6839400000,922800000,228600000,6581400000,3609800000,6288300000,351000000,293300000,USD,611200000,6700000,None,-125900000,-106700000,212200000,148700000,-113300000,1200000,232000000,-322900000,-145400000,-329600000,389900000,389900000,None,108000000,108000000,None,None,794100000,None,-380600000,None,175700000,-500000,230800000
80,2016Q2,116.44109375,117.2212859375,115.6899609375,116.57546875,1142008.71875,0.77,0.76,0.01,1.3158,USD,367200000,3245700000,2878500000,1785200000,412500000,1093300000,None,1093300000,6200000,-71500000,None,71500000,None,None,136400000,72700000,342000000,83600000,71500000,263600000,308600000,412500000,486200000,258400000,USD,18224600000,4095400000,167400000,167400000,1331700000,2435000000,14178800000,3257300000,2969500000,10482700000,3978300000,6504400000,38600000,None,None,278300000,389200000,11555000000,4238400000,977800000,None,1749900000,294100000,7316600000,None,8008600000,1455800000,6552800000,6846900000,964200000,227800000,6600500000,3884100000,6444600000,351600000,291600000,USD,-21600000,12900000,None,82700000,-16100000,72700000,177200000,50800000,-41800000,263600000,-173000000,-331800000,-12800000,248000000,248000000,None,109600000,109600000,None,None,-300000,None,-216600000,None,-101100000,1400000,258400000
81,2016Q3,120.71796875,121.3312171875,120.0156609375,120.7190625,837203.109375,1.08,1.08,0,0,USD,436400000,3317100000,2880700000,1737200000,574100000,1071600000,None,1143500000,4100000,-69000000,None,69000000,None,None,144900000,71900000,503800000,129700000,69000000,379500000,414500000,574100000,644700000,374100000,USD,18378800000,4172000000,180600000,180600000,1342400000,2470400000,14246900000,3292900000,3073300000,10429800000,3914300000,6515500000,30900000,None,None,299400000,484100000,11437000000,4174000000,1022700000,None,1571200000,114300000,7263000000,None,8005200000,1456900000,6548300000,6662600000,991000000,226400000,6869600000,3983200000,6716700000,352300000,291600000,USD,616900000,19900000,None,139600000,64400000,71900000,184900000,24700000,6000000,379500000,-257900000,-346200000,-180000000,99900000,99900000,None,106900000,106900000,None,None,0,None,-78300000,None,13200000,400000,374100000
82,2016Q4,117.13285714285715,117.7777,116.40535714285714,117.04873015873015,905849.1428571428,1.28,1.28,0,0,USD,560700000,3352100000,2791400000,1745100000,556900000,1046300000,189000000,1046300000,7700000,-76000000,None,76000000,None,None,140100000,72800000,482900000,116600000,76000000,372000000,105100000,556900000,631700000,366300000,USD,18330200000,4279400000,327400000,327400000,1319400000,2446200000,14099500000,3365000000,3077600000,10200800000,3817800000,6383000000,67700000,None,None,291400000,485000000,11359300000,3019400000,983200000,None,541300000,29900000,8339900000,None,7168500000,511400000,6657100000,3047000000,891200000,204800000,6901100000,3984400000,6975000000,352600000,291800000,USD,448000000,630200000,None,-52200000,73600000,212600000,246000000,36900000,15800000,372000000,-191800000,-44800000,-84000000,1800000,1800000,None,103000000,103000000,None,None,1596200000,None,12700000,None,146800000,-8700000,366300000
83,2017Q1,122.01612903225806,122.79727419354838,121.46716774193548,122.25935483870968,957554.6612903225,1.25,1.27,-0.02,-1.5748,USD,232800000,3095000000,2862200000,1842900000,357200000,956100000,None,1170700000,4100000,-66600000,None,66600000,3162400000,None,142200000,73800000,307700000,54200000,66600000,256800000,330700000,357200000,448100000,253500000,USD,19223000000,4307300000,212100000,212100000,1428300000,2456800000,14981700000,3424900000,3194700000,11033800000,4086000000,6947800000,73800000,None,None,308900000,457000000,12344500000,4205300000,1039300000,None,1699400000,890100000,8139200000,None,5841600000,809300000,None,7541000000,908000000,207000000,6809400000,4315400000,7123100000,353500000,290000000,USD,425700000,23000000,None,-60600000,4900000,216000000,167500000,-76300000,67500000,257300000,-995300000,395500000,858800000,374500000,374500000,None,113200000,113200000,None,None,0,None,-348800000,None,-115300000,5000000,253500000
