,Quarter,1. open,2. high,3. low,4. close,5. volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportedCurrency_x,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome_x,reportedCurrency_y,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome_y
71,2013Q4,10.71346875,10.8797796875,10.59418125,10.75359375,77679.1875,0.09,0.08,0.01,12.5,USD,22908000,47322000,40460000,24414000,628000,14942000,7257000,22280000,43000,0,None,0,None,93000,897000,952000,764000,76000,0,688000,1054000,764000,1716000,688000,USD,303742000,160727000,50470000,97811000,30479000,23788000,147044000,13866000,None,103918000,9050000,103918000,57324000,9983000,47341000,5150000,244000,24814000,20699000,10040000,None,None,None,4115000,None,None,None,None,None,3153000,114000,278928000,38226000,116776000,306000,25716000,USD,-337000,432000,None,None,None,1849000,975000,None,229000,688000,6134000,3129000,None,0,0,None,None,None,None,None,None,None,3109000,None,9150000,224000,688000
72,2014Q1,10.558196721311475,10.714677049180327,10.405073770491803,10.544590163934426,88513.11475409837,0.03,0.05,-0.02,-40,USD,21780000,45881000,40020000,24102000,-649000,15018000,7411000,22429000,50000,-1000,None,1000,None,21000,931000,900000,-579000,-1317000,1000,738000,573000,-578000,322000,738000,USD,297550000,153780000,43557000,88592000,30592000,25900000,148054000,13673000,None,104045000,8309000,104045000,55839000,10804000,45035000,5261000,419000,21850000,19009000,9114000,None,None,None,2841000,None,None,None,None,None,2725000,124000,275700000,43388000,117514000,306000,25644000,USD,-2853000,-388000,None,None,None,900000,946000,None,None,738000,566000,-4731000,None,5416000,5416000,None,None,None,None,None,None,None,-4755000,None,-6913000,105000,738000
73,2014Q2,9.138730158730159,9.345471428571429,8.948885714285714,9.146666666666667,85092.06349206349,0.03,0.01,0.02,200,USD,22149000,47881000,41812000,25736000,-280000,15176000,7253000,22429000,39000,-4000,None,4000,None,-69000,866000,900000,-314000,-213000,4000,-101000,282000,-310000,590000,-101000,USD,297732000,151896000,55917000,88246000,30483000,24654000,150510000,13511000,None,111886000,7557000,104329000,44667000,12338000,32329000,5049000,437000,24380000,21458000,10417000,None,None,None,2922000,None,None,None,None,None,2349000,242000,273010000,47400000,117732000,306000,25274000,USD,5735000,0,None,None,None,900000,798000,None,None,-101000,10371000,-3899000,None,4235000,4235000,None,None,None,None,None,None,None,-3899000,None,12360000,153000,-101000
74,2014Q3,8.3659375,8.4998578125,8.248765625,8.3496875,63535.234375,-0.01,0.04,-0.05,-125,USD,23647000,51612000,44272000,18544000,4690000,15353000,7868000,18850000,44000,0,None,0,None,456000,863000,802000,2448000,2022000,0,3168000,-2845000,2448000,3250000,426000,USD,290459000,147681000,47490000,80388000,31247000,28576000,146936000,13109000,22193000,110183000,6785000,101484000,44439000,11541000,32898000,4779000,440000,25161000,21754000,10451000,None,None,None,3407000,None,None,None,None,None,3170000,411000,265298000,53237000,117816000,307000,24745000,USD,-736000,436000,None,None,None,1665000,702000,-2730000,860000,23647000,-492000,-5459000,None,6051000,6051000,None,None,None,None,None,None,None,-5459000,None,-8427000,-1740000,426000
75,2014Q4,7.874375,8.0578203125,7.7378765625,7.90171875,94010.046875,0.02,0.03,-0.01,-33.3333,USD,22557000,48723000,43551000,24661000,464000,15980000,7562000,22093000,38000,None,None,426000,0,388000,752000,770000,-467000,-128000,None,1018000,-2730000,464000,1234000,-339000,USD,287251000,142890000,45043000,77667000,33364000,23281000,152195000,13864000,None,108735000,6061000,100760000,47224000,14600000,32624000,5372000,396000,25867000,23213000,12032000,None,None,None,2654000,None,None,None,None,None,3664000,600000,261384000,55151000,117477000,307000,24150000,USD,5343000,0,None,None,None,1522000,1469000,None,230000,-339000,-4283000,-1987000,None,2257000,2257000,None,None,None,None,None,None,None,-1987000,None,-2447000,-1520000,-339000
76,2015Q1,9.78327868852459,9.929547540983608,9.6124131147541,9.80967213114754,80994.45901639345,-0.01,-0.02,0.01,50,USD,23235000,53151000,44712000,27166000,1319000,14839000,7779000,21916000,54000,None,None,342000,0,1324000,693000,800000,2481000,1035000,None,1662000,-1895000,1319000,2119000,1446000,USD,290162000,155638000,45657000,84877000,33881000,28615000,137127000,14617000,None,107090000,5348000,99828000,46770000,7550000,39220000,4877000,320000,25029000,22473000,11375000,None,None,None,2556000,None,None,None,None,None,3421000,481000,265133000,54969000,118923000,315000,24492000,USD,-3783000,342000,None,None,None,800000,1566000,None,None,1446000,-29000,6159000,None,82000,82000,None,None,None,None,None,None,None,6159000,None,614000,-1733000,1446000
77,2015Q2,9.781587301587301,9.912836507936508,9.631639682539683,9.767777777777777,64069.968253968254,0.04,None,None,None,USD,25024000,54538000,44043000,27031000,3792000,14154000,8374000,21232000,42000,-4000,None,4000,0,419000,725000,700000,3664000,1168000,4000,3085000,4070000,3668000,4368000,2496000,USD,293757000,156371000,53755000,91282000,34690000,24415000,141149000,14628000,None,107286000,4789000,100583000,46998000,9471000,37527000,2912000,293000,23114000,20884000,7048000,None,None,None,2230000,None,None,None,None,None,3372000,678000,270600000,54758000,121419000,315000,24938000,USD,7436000,155000,None,None,None,700000,853000,None,None,2496000,-691000,529000,None,0,0,None,None,None,None,None,None,None,529000,None,8098000,824000,2496000
78,2015Q3,10.1555625,10.3181359375,10.035421875,10.1828125,75323.34375,0.1,0.05,0.05,100,USD,26305000,47435000,43073000,27868000,5314000,14085000,8332000,20991000,84000,0,None,0,600000,-117000,779000,624000,4594000,1609000,0,3668000,2807000,4594000,5218000,2985000,USD,300360000,160185000,45018000,92209000,31877000,29205000,148135000,14339000,23180000,106276000,4179000,100183000,60817000,13626000,47191000,3515000,250000,25422000,23189000,6673000,None,None,None,2233000,None,None,None,None,None,3037000,457000,274938000,54535000,124404000,315000,25005000,USD,5078000,16000,None,None,None,891000,612000,-1794000,1284000,26682000,-14451000,444000,None,0,0,None,None,None,None,None,None,None,444000,None,-8737000,192000,2985000
79,2015Q4,12.3,12.4696515625,12.0486875,12.271875,144541.0,0.12,0.06,0.06,100,USD,24357000,53171000,39600000,25902000,3289000,12579000,7838000,21068000,100000,-8000,None,8000,2912000,123000,724000,468000,6831000,381000,8000,3131000,4539000,6839000,7307000,6450000,USD,316266000,165124000,52190000,102392000,30115000,27883000,154739000,14156000,None,115305000,5061000,110244000,61726000,11524000,50202000,4734000,300000,30750000,18305000,6904000,None,None,None,12445000,None,None,None,None,None,4201000,809000,285516000,54680000,130854000,322000,25331000,USD,3555000,190000,None,None,None,1192000,545000,None,409000,3131000,-1512000,5840000,None,403000,403000,None,None,None,None,None,None,None,5650000,None,7172000,-711000,6450000
80,2016Q1,9.130983606557377,9.32358524590164,8.924226229508196,9.115409836065574,154606.59016393442,0.12,0.07,0.05,71.4286,USD,24742000,50162000,38752000,25420000,3653000,13230000,7757000,21089000,12000,-118000,None,118000,-42000,-284000,681000,533000,3292000,1155000,118000,2226000,3625000,3410000,3943000,2137000,USD,323549000,176930000,67270000,115384000,25684000,31536000,146226000,13986000,None,115502000,4795000,110707000,55406000,7292000,48114000,4326000,215000,33143000,20679000,7280000,None,None,None,12464000,None,None,None,None,None,4376000,736000,290406000,54571000,132991000,323000,25820000,USD,7933000,384000,None,None,None,1214000,664000,None,None,2226000,5745000,620000,None,100000,100000,None,None,None,None,None,None,None,608000,None,15080000,782000,2137000
