,Quarter,1. open,2. high,3. low,4. close,5. volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportedCurrency_x,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome_x,reportedCurrency_y,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome_y
77,2015Q3,115.70984375,116.714678125,114.41895625,115.67828125,5548244.28125,1.71,1.71,0,0,USD,8365000000,24829000000,16464000000,16464000000,3647000000,4299000000,None,4718000000,None,-233000000,None,233000000,None,4000000,None,419000000,3563000000,1329000000,233000000,8365000000,1979000000,3796000000,4215000000,2234000000,USD,43798000000,19531000000,4936000000,4936000000,11859000000,None,24267000000,22302000000,16560000000,1359000000,1359000000,1340000000,None,None,None,1040000000,625000000,35161000000,16399000000,7495000000,None,None,3057000000,18762000000,None,13818000000,3057000000,None,19375000000,4195000000,1884000000,8637000000,29116000000,29275000000,88000000,1284000000,USD,2530000000,None,None,-472000000,-417000000,461000000,383000000,-115000000,-370000000,8365000000,-236000000,-139000000,0,1960000000,1960000000,None,764000000,764000000,None,87000000,2492000000,None,-1873000000,None,2155000000,-46000000,2234000000
78,2015Q4,127.0090625,127.94019375,126.14055625,127.229375,4818978.21875,1.36,1.32,0.04,3.0303,USD,7565000000,21819000000,14254000000,14254000000,2981000000,4161000000,None,4584000000,None,-247000000,None,247000000,None,7000000,None,423000000,2741000000,1016000000,247000000,7565000000,1645000000,2988000000,3411000000,1725000000,USD,44152000000,18606000000,3040000000,3040000000,12495000000,None,25546000000,22194000000,16922000000,2111000000,2111000000,2111000000,None,None,None,1129000000,1241000000,36533000000,15976000000,7236000000,None,None,3047000000,20557000000,None,17815000000,3047000000,None,20862000000,4180000000,1949000000,7619000000,31019000000,30246000000,88000000,1268000000,USD,1432000000,None,None,-564000000,329000000,469000000,378000000,-12000000,348000000,7565000000,-2024000000,-1283000000,0,1958000000,1958000000,None,754000000,754000000,None,15000000,1499000000,None,-1943000000,None,-1875000000,-21000000,1725000000
79,2016Q1,124.67868852459016,125.93568852459016,123.28491967213115,124.62655737704918,6178741.081967213,1.17,1.1,0.07,6.3636,USD,7156000000,20980000000,13824000000,13824000000,2549000000,4178000000,None,4607000000,None,-242000000,None,242000000,None,6000000,None,429000000,2313000000,842000000,242000000,7156000000,1235000000,2555000000,2984000000,1471000000,USD,41973000000,16484000000,2216000000,2216000000,11809000000,None,25556000000,22191000000,17075000000,2102000000,2102000000,2102000000,None,None,None,569000000,1196000000,35657000000,12524000000,6565000000,None,None,3402000000,20732000000,None,20888000000,77000000,None,21315000000,3968000000,1965000000,6316000000,33194000000,30973000000,88000000,1252000000,USD,2007000000,None,None,-776000000,-770000000,479000000,420000000,-39000000,-630000000,7156000000,-405000000,-2364000000,350000000,1957000000,1957000000,None,744000000,744000000,None,79000000,0,None,-1878000000,None,-762000000,-62000000,1471000000
80,2016Q2,132.2159375,133.13860937500002,131.3313125,132.23375,4831526.875,1.44,1.36,0.08,5.8824,USD,7791000000,22762000000,14971000000,14971000000,3077000000,4281000000,None,4714000000,None,-244000000,None,244000000,None,None,None,433000000,2840000000,1037000000,244000000,7791000000,2123000000,3084000000,3517000000,1803000000,USD,44576000000,19010000000,3257000000,3257000000,13219000000,None,25566000000,22243000000,17572000000,None,None,2123000000,None,None,None,545000000,1200000000,38241000000,15149000000,8711000000,None,None,44000000,23092000000,None,None,44000000,None,20948000000,4787000000,1885000000,6335000000,34444000000,31907000000,88000000,1245000000,USD,3636000000,None,None,2702000000,1410000000,486000000,325000000,57000000,1319000000,7791000000,-321000000,-2338000000,-350000000,1157000000,1157000000,None,862000000,862000000,None,29000000,2989000000,None,-1128000000,None,977000000,64000000,1803000000
81,2016Q3,133.263125,134.1411875,132.5188515625,133.26453125,4329528.078125,1.97,1.97,0,0,USD,8927000000,26472000000,17545000000,17545000000,4103000000,4388000000,None,4824000000,8000000,-236000000,None,236000000,None,8000000,None,436000000,3875000000,1434000000,236000000,2441000000,2241000000,4111000000,4547000000,2441000000,USD,44247000000,18941000000,4018000000,4018000000,12323000000,None,25306000000,21975000000,17859000000,2106000000,2106000000,2106000000,None,None,None,605000000,1225000000,37590000000,14525000000,8273000000,None,None,43000000,23065000000,None,20900000000,43000000,None,20943000000,4543000000,1874000000,6657000000,35694000000,33492000000,88000000,1236000000,USD,3241000000,None,None,-446000000,-700000000,492000000,372000000,34000000,-824000000,2441000000,-353000000,-2083000000,0,1284000000,1284000000,None,856000000,856000000,None,92000000,0,None,-1192000000,None,805000000,-44000000,2441000000
82,2016Q4,128.764126984127,129.85468095238096,127.95646031746031,128.89857142857142,5245535.26984127,1.6,1.58,0.02,1.2658,USD,8042000000,23154000000,15112000000,15112000000,3320000000,4280000000,None,4722000000,None,-246000000,None,246000000,None,11000000,None,442000000,3084000000,1115000000,246000000,1969000000,1864000000,3330000000,3772000000,1969000000,USD,44502000000,19348000000,3589000000,3589000000,13241000000,None,25154000000,21840000000,18175000000,2093000000,2093000000,2095000000,None,None,None,523000000,1219000000,38880000000,14431000000,8054000000,None,None,543000000,24449000000,None,22349000000,543000000,None,22881000000,4202000000,1856000000,5622000000,37823000000,34612000000,88000000,1220000000,USD,1042000000,None,None,-559000000,946000000,496000000,448000000,17000000,958000000,1969000000,-441000000,-1003000000,0,2094000000,2094000000,None,849000000,849000000,None,15000000,1970000000,None,-2079000000,None,-402000000,-27000000,1969000000
83,2017Q1,141.70935483870966,142.49830322580644,140.9162693548387,141.8266129032258,4065408.7258064514,1.44,1.34,0.1,7.4627,USD,7553000000,22207000000,14654000000,14654000000,2927000000,4183000000,None,4626000000,None,-246000000,None,246000000,None,13000000,None,443000000,2692000000,948000000,246000000,7553000000,1760000000,2938000000,3381000000,1744000000,USD,42966000000,17724000000,2538000000,2538000000,12549000000,None,25242000000,21914000000,18512000000,2095000000,2095000000,2093000000,None,None,None,608000000,1235000000,38633000000,14133000000,7000000000,None,None,1252000000,24500000000,None,22393000000,542000000,None,23601000000,4212000000,1855000000,4333000000,40194000000,35519000000,88000000,1203000000,USD,1864000000,None,None,-1043000000,-584000000,499000000,476000000,30000000,-684000000,7553000000,-468000000,-2446000000,710000000,2345000000,2345000000,None,837000000,837000000,None,82000000,0,None,-2263000000,None,-1050000000,-1000000,1744000000
84,2017Q2,153.36888888888888,154.1792365079365,152.529826984127,153.38968253968252,4219090.571428572,1.67,1.62,0.05,3.0864,USD,8154000000,23887000000,15733000000,15733000000,3349000000,4361000000,None,4805000000,13000000,-254000000,None,254000000,23887000000,None,None,444000000,3108000000,1094000000,254000000,2014000000,1958000000,3362000000,3806000000,2014000000,USD,44944000000,19896000000,3565000000,3565000000,13609000000,None,25048000000,21789000000,18867000000,None,None,2095000000,None,None,None,558000000,1164000000,40982000000,16438000000,9138000000,None,None,544000000,24544000000,None,None,544000000,None,22937000000,4924000000,1916000000,3962000000,41444000000,36461000000,89000000,1197000000,USD,4564000000,456000000,None,3105000000,1210000000,505000000,458000000,145000000,1051000000,2014000000,-445000000,-3081000000,-710000000,1289000000,1289000000,None,1069000000,1069000000,None,31000000,0,None,-1258000000,None,1038000000,-11000000,2014000000
85,2017Q3,153.39738095238096,154.3433492063492,152.39685873015873,153.3384126984127,5101772.904761905,2.25,2.22,0.03,1.3514,USD,9461000000,28108000000,18647000000,18647000000,4463000000,4549000000,None,4998000000,None,-265000000,None,265000000,28108000000,16000000,None,449000000,4214000000,1542000000,265000000,2672000000,3113000000,4479000000,4928000000,2672000000,USD,45959000000,20511000000,3549000000,4830000000,12868000000,None,25448000000,22035000000,19370000000,2235000000,2235000000,2235000000,None,None,None,626000000,1178000000,42405000000,15823000000,8541000000,None,None,545000000,26582000000,None,24422000000,545000000,None,24967000000,4806000000,1923000000,3554000000,44084000000,38073000000,89000000,1181000000,USD,3298000000,2302000000,None,-838000000,-847000000,510000000,388000000,-49000000,-863000000,2672000000,-646000000,-1568000000,0,2632000000,2632000000,None,1061000000,1061000000,None,106000000,1994000000,None,-2526000000,None,1084000000,181000000,2672000000
86,2017Q4,172.39396825396824,173.42487777777777,171.44802857142858,172.6020634920635,4315512.80952381,1.87,1.82,0.05,2.7473,USD,8648000000,25026000000,16378000000,16378000000,3680000000,4514000000,None,4968000000,None,-269000000,None,269000000,25026000000,23000000,None,454000000,3433000000,1268000000,269000000,2165000000,2018000000,3702000000,4156000000,2165000000,USD,45023000000,19682000000,3549000000,3549000000,13419000000,None,25341000000,21960000000,19654000000,2275000000,2275000000,2217000000,None,None,None,548000000,1164000000,42480000000,16002000000,8570000000,None,None,1323000000,26478000000,None,24267000000,1198000000,None,25589000000,4321000000,1968000000,2543000000,45993000000,39193000000,89000000,1168000000,USD,1879000000,1784000000,None,-442000000,509000000,518000000,508000000,-1000000,588000000,2165000000,-485000000,-2604000000,125000000,2146000000,2146000000,None,1044000000,1044000000,None,20000000,997000000,None,-2126000000,None,-1210000000,-71000000,2165000000
87,2018Q1,187.96688524590164,189.79360655737705,185.66803278688525,187.63016393442624,5270762.032786885,1.69,1.61,0.08,4.9689,USD,8093000000,23883000000,15790000000,15790000000,3189000000,4440000000,None,4904000000,None,-269000000,None,269000000,23883000000,22000000,None,464000000,2943000000,1164000000,269000000,8093000000,1842000000,3212000000,3676000000,1779000000,USD,44529000000,18933000000,3595000000,3595000000,12748000000,None,25596000000,22075000000,19339000000,2281000000,2281000000,2275000000,None,None,None,638000000,1246000000,43075000000,16194000000,7244000000,None,None,2761000000,26881000000,None,24244000000,1202000000,None,27028000000,4384000000,2174000000,1454000000,48196000000,39935000000,89000000,1158000000,USD,2290000000,1181000000,None,-1316000000,-1009000000,529000000,543000000,-234000000,-692000000,8093000000,-652000000,-1617000000,1435000000,1933000000,1933000000,None,1038000000,1038000000,None,98000000,0,None,-1835000000,None,21000000,25000000,1779000000
88,2018Q2,186.585,188.1503125,185.02046875,186.790625,4664820.171875,2.08,2.05,0.03,1.4634,USD,8617000000,24947000000,16330000000,16330000000,3381000000,4779000000,None,5236000000,None,-261000000,None,261000000,24947000000,None,None,457000000,3142000000,738000000,261000000,2404000000,2374000000,3403000000,3860000000,2404000000,USD,46650000000,21214000000,3599000000,3599000000,14432000000,None,25436000000,21928000000,19668000000,None,None,2281000000,None,None,None,887000000,1227000000,44963000000,18133000000,9726000000,None,None,1549000000,26830000000,None,None,1199000000,None,25793000000,4947000000,2586000000,1687000000,49044000000,41221000000,89000000,1154000000,USD,3981000000,458000000,None,3287000000,2265000000,532000000,556000000,319000000,1687000000,2404000000,-548000000,-3400000000,-1209000000,1121000000,1121000000,None,1189000000,1189000000,None,14000000,None,None,-1107000000,None,33000000,-29000000,2404000000
89,2018Q3,201.3474603174603,202.56460317460318,200.16698412698415,201.32492063492063,3817461.634920635,3.05,2.84,0.21,7.3944,USD,10365000000,30463000000,20098000000,20098000000,4901000000,5004000000,None,5464000000,None,-272000000,None,272000000,30463000000,26000000,None,460000000,4655000000,1149000000,272000000,3506000000,3328000000,4927000000,5387000000,3506000000,USD,46232000000,20802000000,3490000000,3490000000,14044000000,None,25430000000,21909000000,19955000000,2251000000,2251000000,2251000000,None,None,None,1104000000,1270000000,44223000000,18426000000,9407000000,None,None,2203000000,25797000000,None,23295000000,2203000000,None,25498000000,4827000000,2502000000,2009000000,50928000000,43543000000,89000000,1145000000,USD,3926000000,2066000000,None,-362000000,-130000000,530000000,535000000,-127000000,-332000000,3506000000,-527000000,-3414000000,-350000000,2000000000,2000000000,None,1184000000,1184000000,None,111000000,0,None,-1889000000,None,-15000000,-94000000,3506000000
90,2018Q4,179.97444444444443,181.98285714285714,177.24896984126985,179.32190476190476,6085079.444444444,2.51,2.26,0.25,11.0619,USD,9151000000,26302000000,17151000000,17151000000,3870000000,4808000000,None,5281000000,None,-249000000,None,249000000,26302000000,4000000,None,473000000,3646000000,779000000,249000000,2867000000,2924000000,3895000000,4368000000,2867000000,USD,45200000000,19809000000,1764000000,1764000000,14754000000,None,25391000000,22054000000,20293000000,2258000000,2258000000,2258000000,None,None,None,1120000000,1079000000,43880000000,18196000000,9054000000,None,None,2452000000,25684000000,None,26807000000,1054000000,None,25784000000,4832000000,2352000000,1320000000,53696000000,45235000000,89000000,1131000000,USD,2129000000,1348000000,None,-574000000,646000000,541000000,620000000,4000000,686000000,2867000000,-618000000,-3366000000,1398000000,2397000000,2397000000,None,1175000000,1175000000,None,15000000,0,None,-2382000000,None,2867000000,129000000,2867000000
91,2019Q1,183.01245901639345,184.5583606557377,181.65196721311477,183.43590163934425,4661668.491803279,2.25,2.16,0.09,4.1667,USD,9027000000,26491000000,17464000000,17464000000,3378000000,4922000000,None,5649000000,None,-269000000,None,269000000,26491000000,4000000,None,480000000,3113000000,769000000,269000000,9027000000,2289000000,3382000000,3862000000,2344000000,USD,44003000000,18529000000,1778000000,1778000000,13925000000,None,25474000000,22375000000,20564000000,None,None,2252000000,None,None,None,890000000,847000000,45881000000,16716000000,7755000000,None,None,2395000000,29165000000,None,None,1056000000,None,29202000000,4784000000,1867000000,-1878000000,58196000000,46423000000,89000000,1105000000,USD,3129000000,937000000,None,-1650000000,-1339000000,549000000,731000000,-229000000,-797000000,9027000000,-723000000,-2367000000,-59000000,4445000000,4445000000,None,1156000000,1156000000,None,96000000,3466000000,None,-4349000000,None,9027000000,-25000000,2344000000
92,2019Q2,199.04126984126984,200.8377777777778,197.75714285714287,199.46476190476193,4073755.412698413,2.27,2.18,0.09,4.1284,USD,9017000000,26381000000,17364000000,17364000000,3597000000,4940000000,None,5420000000,None,-288000000,None,288000000,26381000000,None,None,480000000,3324000000,811000000,288000000,9017000000,2481000000,3612000000,4092000000,2513000000,USD,51515000000,20553000000,1882000000,1882000000,15495000000,None,30962000000,22270000000,20900000000,None,None,2250000000,None,None,None,859000000,813000000,53658000000,19673000000,10311000000,None,None,2249000000,33985000000,972000000,None,1000000000,None,34198000000,5098000000,2036000000,-2143000000,59446000000,47459000000,89000000,1101000000,USD,4713000000,704000000,None,3180000000,1940000000,547000000,681000000,391000000,1586000000,9017000000,-688000000,-3913000000,-967000000,1368000000,1368000000,None,1499000000,1499000000,None,34000000,0,None,-1334000000,None,9017000000,-8000000,2513000000
93,2019Q3,218.32734375,220.046875,216.660625,218.59671875,3739717.828125,3.17,3.08,0.09,2.9221,USD,10432000000,30839000000,20407000000,20407000000,4896000000,5044000000,None,5536000000,None,-302000000,19000000,302000000,30839000000,15000000,None,492000000,4613000000,1134000000,302000000,10432000000,3538000000,4915000000,5407000000,3479000000,USD,52010000000,20699000000,2547000000,2547000000,14741000000,None,31311000000,22387000000,21300000000,None,None,2254000000,None,None,None,1137000000,881000000,53170000000,18798000000,9494000000,None,None,2146000000,34372000000,1020000000,27064000000,1248000000,None,34473000000,4925000000,2045000000,-1160000000,60696000000,49446000000,89000000,1096000000,USD,3830000000,2312000000,None,-1072000000,-606000000,560000000,565000000,-53000000,-776000000,10432000000,-561000000,-2621000000,-372000000,1251000000,1251000000,None,1492000000,1492000000,None,123000000,1404000000,None,-1128000000,None,10432000000,-8000000,3479000000
