,Quarter,1. open,2. high,3. low,4. close,5. volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportedCurrency_x,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome_x,reportedCurrency_y,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome_y
76,2015Q1,71.6572131147541,72.31550491803279,71.01595081967213,71.69147540983607,5082392.262295082,0.46,0.43,0.03,6.9767,USD,4347000000,12417000000,11789000000,8194000000,1203000000,3157000000,None,3660000000,4000000,-124000000,None,124000000,None,None,362000000,295000000,687000000,237000000,124000000,450000000,375000000,811000000,1106000000,450000000,USD,31721000000,9851000000,466000000,591000000,8911000000,None,22052000000,20034000000,15409000000,154000000,None,154000000,None,354000000,125000000,349000000,1349000000,21753000000,9348000000,5124000000,None,552000000,0,11781000000,None,21786000000,552000000,None,21786000000,1920000000,869000000,9968000000,None,9591000000,480000000,960000000,USD,0,50000000,None,-1504000000,-789000000,463000000,293000000,None,-811000000,450000000,-201000000,-1137000000,0,955000000,955000000,None,225000000,225000000,None,None,0,None,-908000000,None,-1096000000,-3000000,450000000
77,2015Q2,71.38809523809523,71.98378412698413,70.84263492063492,71.30714285714286,5056799.476190476,0.7,0.74,-0.04,-5.4054,USD,5012000000,14006000000,12923000000,9117000000,1098000000,3415000000,None,3914000000,0,-123000000,None,123000000,None,None,365000000,391000000,1098000000,425000000,123000000,673000000,695000000,1221000000,1612000000,673000000,USD,34315000000,12536000000,1434000000,1529000000,10614000000,None,21930000000,19892000000,15800000000,None,None,None,None,384000000,95000000,393000000,1343000000,24838000000,12970000000,8023000000,None,1026000000,0,11141000000,None,10868000000,1026000000,None,10868000000,2213000000,817000000,9477000000,None,9085000000,473000000,947000000,USD,4579000000,233000000,None,3134000000,1735000000,365000000,232000000,None,1687000000,673000000,-241000000,-1270000000,0,1109000000,1109000000,None,222000000,222000000,None,None,0,None,-1088000000,None,968000000,1000000,673000000
78,2015Q3,68.73703125,69.380815625,68.0539703125,68.7675,5401233.125,1.2,1.24,-0.04,-3.2258,USD,5981000000,17224000000,15376000000,11367000000,1839000000,3634000000,None,4142000000,2000000,-124000000,None,124000000,None,None,375000000,400000000,1839000000,713000000,124000000,1126000000,897000000,1963000000,2363000000,1126000000,USD,32736000000,11115000000,901000000,1089000000,9704000000,None,21673000000,19751000000,15900000000,154000000,None,154000000,None,412000000,188000000,322000000,1050000000,24049000000,12141000000,7123000000,None,1014000000,0,11178000000,None,10870000000,1014000000,None,10870000000,2191000000,833000000,8687000000,None,8533000000,464000000,928000000,USD,1126000000,33000000,None,-786000000,-958000000,375000000,338000000,None,-883000000,1126000000,-495000000,-1718000000,0,1520000000,1520000000,None,218000000,218000000,None,None,0,None,-1479000000,None,-533000000,-6000000,1126000000
79,2015Q4,74.1946875,74.849296875,73.5239375,74.25203125,4368015.4375,0.8,0.78,0.02,2.5641,USD,4990000000,14227000000,13032000000,9370000000,1187000000,3287000000,None,3803000000,1000000,-133000000,None,133000000,None,None,375000000,401000000,1187000000,451000000,133000000,736000000,667000000,1320000000,1721000000,736000000,USD,33644000000,12140000000,1227000000,1385000000,10434000000,None,21522000000,19655000000,16200000000,154000000,None,154000000,None,382000000,158000000,321000000,1018000000,25266000000,12162000000,7338000000,None,1058000000,0,12384000000,None,12089000000,1058000000,None,12089000000,1997000000,843000000,8378000000,None,8298000000,459000000,917000000,USD,736000000,235000000,None,-40000000,721000000,375000000,274000000,None,732000000,736000000,-250000000,198000000,0,753000000,753000000,None,260000000,260000000,None,None,1718000000,None,-746000000,None,326000000,-4000000,736000000
80,2016Q1,70.57508196721311,71.42604918032787,69.65438524590165,70.55295081967212,5950427.180327869,0.59,0.59,0,0,USD,4588000000,13102000000,13398000000,8648000000,847000000,3771000000,None,4293000000,1000000,-134000000,None,134000000,None,None,369000000,302000000,295000000,284000000,134000000,11000000,-5000000,429000000,731000000,11000000,USD,31266000000,10561000000,405000000,712000000,9458000000,None,20907000000,19577000000,16336000000,154000000,None,154000000,None,222000000,307000000,391000000,511000000,23612000000,10492000000,5633000000,None,1104000000,43000000,12391000000,None,24233000000,1061000000,None,24276000000,1857000000,846000000,7654000000,None,7593000000,455000000,910000000,USD,-3191000000,54000000,None,-1714000000,-882000000,472000000,353000000,None,-954000000,11000000,-357000000,-703000000,43000000,543000000,543000000,None,257000000,257000000,None,None,0,None,-487000000,None,-822000000,0,11000000
81,2016Q2,77.27046875,77.9116734375,76.7354640625,77.35359375,4776980.234375,0.87,0.85,0.02,2.3529,USD,5337000000,15089000000,13674000000,9897000000,1586000000,3391000000,None,3907000000,2000000,-145000000,None,145000000,0,None,357000000,360000000,1430000000,546000000,145000000,884000000,967000000,1586000000,1935000000,884000000,USD,37177000000,16473000000,4561000000,4735000000,11055000000,None,20853000000,19463000000,16600000000,154000000,None,154000000,None,400000000,174000000,683000000,533000000,29965000000,14121000000,8821000000,None,1083000000,0,15118000000,None,14870000000,1083000000,None,14870000000,2369000000,796000000,7212000000,None,7074000000,447000000,894000000,USD,3461000000,259000000,None,3604000000,1742000000,383000000,208000000,None,1556000000,884000000,-349000000,1284000000,-44000000,1253000000,1253000000,None,255000000,255000000,None,None,3267000000,None,-1233000000,None,4156000000,1000000,884000000
82,2016Q3,77.84765625,78.3652171875,77.2812140625,77.77484375,4986933.90625,1.37,1.42,-0.05,-3.5211,USD,6288000000,18105000000,16209000000,11972000000,2051000000,3866000000,None,4403000000,4000000,-155000000,None,155000000,0,None,366000000,371000000,1885000000,718000000,155000000,1167000000,1111000000,2051000000,2411000000,1167000000,USD,36471000000,13351000000,1988000000,2156000000,10604000000,None,23202000000,20274000000,16800000000,1074000000,1074000000,1074000000,None,604000000,168000000,591000000,918000000,29449000000,13183000000,7696000000,None,1193000000,0,15522000000,None,14966000000,1193000000,None,14966000000,2259000000,904000000,6913000000,None,6839000000,440000000,881000000,USD,-1363000000,39000000,None,-1557000000,-1516000000,395000000,282000000,None,-1246000000,1167000000,-2585000000,-1394000000,0,1201000000,1201000000,None,251000000,251000000,None,None,0,None,-1139000000,None,-2573000000,-2000000,1167000000
83,2016Q4,70.65301587301587,71.39206825396826,70.15383968253968,70.75095238095238,6411893.238095238,0.88,0.96,-0.08,-8.3333,USD,5407000000,15585000000,14800000000,10332000000,939000000,4084000000,None,4631000000,4000000,-154000000,None,154000000,0,None,378000000,384000000,775000000,397000000,154000000,379000000,531000000,939000000,1313000000,378000000,USD,35370000000,12728000000,960000000,1083000000,10990000000,None,22659000000,20037000000,17100000000,1034000000,1034000000,1034000000,None,436000000,123000000,655000000,804000000,28662000000,12633000000,7836000000,None,800000000,0,15284000000,None,14328000000,800000000,None,14328000000,2035000000,889000000,6599000000,None,6376000000,437000000,873000000,USD,641000000,290000000,None,-141000000,460000000,412000000,330000000,None,408000000,379000000,-118000000,-1546000000,0,600000000,600000000,None,309000000,309000000,None,None,0,None,-594000000,None,-1028000000,-5000000,378000000
84,2017Q1,76.47969354838709,77.06987903225807,75.98792741935485,76.54241935483871,5127749.677419355,0.86,0.79,0.07,8.8608,USD,4642000000,15636000000,14472000000,11142000000,1269000000,3035000000,None,3723000000,2000000,-148000000,None,148000000,0,None,399000000,338000000,1110000000,447000000,148000000,663000000,638000000,1269000000,1596000000,663000000,USD,34408000000,12000000000,558000000,658000000,10458000000,None,22762000000,19949000000,16969000000,1082000000,1082000000,1082000000,None,366000000,100000000,884000000,789000000,27974000000,11974000000,6651000000,None,1305000000,510000000,15237000000,None,14328000000,795000000,None,14838000000,1975000000,843000000,6434000000,None,6241000000,433000000,866000000,USD,348000000,31000000,None,-1174000000,-325000000,400000000,347000000,None,-540000000,663000000,-309000000,-436000000,510000000,541000000,541000000,None,306000000,306000000,None,None,0,None,-490000000,None,-402000000,-5000000,663000000
85,2017Q2,81.8157142857143,82.33139047619048,81.21662063492063,81.73523809523809,5476373.571428572,1.03,1.06,-0.03,-2.8302,USD,5800000000,16246000000,15301000000,11060000000,1559000000,3876000000,None,4241000000,3000000,-150000000,None,150000000,-464000000,-464000000,None,365000000,934000000,332000000,464000000,-464000000,601000000,1559000000,1449000000,602000000,USD,37613000000,15276000000,1963000000,2047000000,12254000000,None,22677000000,19748000000,16900000000,1081000000,1081000000,1081000000,None,477000000,84000000,975000000,759000000,32082000000,14686000000,9905000000,None,295000000,0,16627000000,None,15210000000,295000000,None,15210000000,2346000000,857000000,5531000000,None,5346000000,426000000,853000000,USD,3295000000,285000000,None,3732000000,1872000000,389000000,202000000,None,1808000000,-464000000,-291000000,-1605000000,-511000000,1237000000,1237000000,None,304000000,304000000,None,None,2968000000,None,-1199000000,None,1405000000,6000000,602000000
86,2017Q3,76.57095238095239,77.1908238095238,75.96190476190476,76.56904761904762,6500832.174603174,1.57,1.61,-0.04,-2.4845,USD,6670000000,19344000000,17113000000,12825000000,2382000000,3931000000,None,4288000000,5000000,-151000000,None,151000000,19495000000,None,None,357000000,2223000000,804000000,151000000,1419000000,1525000000,2382000000,2731000000,1419000000,USD,36668000000,14033000000,1696000000,1815000000,11407000000,None,22985000000,19762000000,17000000000,1255000000,1255000000,1255000000,360000000,360000000,119000000,811000000,930000000,31132000000,13625000000,8649000000,None,296000000,0,16717000000,None,15213000000,296000000,None,15213000000,2565000000,929000000,5536000000,None,5253000000,419000000,837000000,USD,1779000000,39000000,None,-1121000000,-1188000000,379000000,274000000,None,-958000000,1419000000,-505000000,-1547000000,0,1266000000,1266000000,None,299000000,299000000,None,None,0,None,-1224000000,None,-267000000,6000000,1419000000
87,2017Q4,82.49190476190476,83.31413968253968,81.9407634920635,82.66571428571427,5924987.19047619,1.05,1.02,0.03,2.9412,USD,5713000000,16622000000,15223000000,11057000000,1547000000,3808000000,None,4166000000,2000000,-148000000,None,148000000,16770000000,None,None,358000000,1387000000,515000000,148000000,872000000,1045000000,1547000000,1893000000,872000000,USD,36783000000,14009000000,743000000,828000000,12393000000,None,22759000000,19818000000,17100000000,1327000000,1327000000,1327000000,370000000,370000000,85000000,788000000,912000000,31041000000,13738000000,8903000000,None,468000000,171000000,16509000000,None,14965000000,297000000,None,15136000000,2155000000,939000000,5742000000,None,5289000000,415000000,831000000,USD,298000000,286000000,None,-42000000,913000000,380000000,311000000,None,933000000,872000000,-276000000,-978000000,171000000,551000000,551000000,None,344000000,344000000,None,None,0,None,-544000000,None,-953000000,3000000,872000000
88,2018Q1,94.86311475409835,95.9334426229508,93.60852459016394,94.65344262295082,7273597.327868853,0.74,0.87,-0.13,-14.9425,USD,4251000000,15347000000,14396000000,11243000000,1098000000,2829000000,None,3153000000,6000000,-147000000,None,147000000,15494000000,None,None,324000000,944000000,390000000,147000000,554000000,527000000,1098000000,1415000000,554000000,USD,35291000000,12772000000,588000000,690000000,11393000000,None,22900000000,19721000000,17219000000,1307000000,1307000000,1307000000,408000000,408000000,102000000,689000000,915000000,29418000000,12096000000,6590000000,1378000000,1431000000,1137000000,16519000000,None,14967000000,294000000,None,16104000000,1950000000,955000000,5873000000,None,5425000000,415000000,830000000,USD,-307000000,44000000,None,-2524000000,-1056000000,392000000,336000000,None,-992000000,554000000,-369000000,523000000,965000000,138000000,138000000,None,341000000,341000000,None,None,0,None,-86000000,None,-155000000,-2000000,554000000
89,2018Q2,90.4984375,91.4403125,89.604375,90.51296875,5753861.609375,1.19,1.22,-0.03,-2.459,USD,5748000000,17212000000,15895000000,11612000000,1465000000,3934000000,None,4283000000,3000000,-148000000,None,148000000,17360000000,None,None,349000000,1305000000,317000000,148000000,988000000,905000000,1465000000,1802000000,988000000,USD,38237000000,16033000000,1565000000,1770000000,13204000000,None,22303000000,19500000000,17400000000,1288000000,1288000000,1288000000,321000000,321000000,205000000,1059000000,896000000,32492000000,15774000000,10104000000,None,896000000,0,15910000000,None,14969000000,896000000,None,14969000000,2620000000,962000000,5745000000,None,5405000000,411000000,822000000,USD,3429000000,288000000,None,4125000000,2080000000,387000000,224000000,None,1846000000,988000000,-236000000,-2215000000,-1140000000,728000000,728000000,None,340000000,340000000,None,None,0,None,-720000000,None,977000000,-1000000,988000000
90,2018Q3,104.05555555555556,104.9284126984127,103.37730158730157,104.19063492063492,4417459.53968254,2.07,2.02,0.05,2.4752,USD,6885000000,20741000000,18725000000,14003000000,2163000000,4386000000,None,4722000000,9000000,-147000000,None,147000000,20888000000,None,355000000,336000000,2010000000,490000000,147000000,1520000000,1450000000,2163000000,2493000000,1520000000,USD,37105000000,15483000000,2251000000,2642000000,11885000000,None,21696000000,19172000000,17500000000,1271000000,259000000,1271000000,87000000,87000000,391000000,956000000,843000000,31324000000,14581000000,8984000000,1449000000,894000000,0,15915000000,None,14972000000,894000000,None,14972000000,2583000000,978000000,5781000000,None,5517000000,406000000,811000000,USD,2358000000,34000000,None,-1160000000,-1391000000,364000000,319000000,None,-1297000000,1520000000,-244000000,-1422000000,3000000,1118000000,1118000000,None,338000000,338000000,None,None,0,None,-1076000000,None,686000000,-6000000,1520000000
91,2018Q4,96.70825396825397,97.98634920634922,95.1763492063492,96.4184126984127,5381889.904761905,1.04,0.98,0.06,6.1224,USD,5377000000,17268000000,16570000000,12038000000,957000000,3997000000,None,4532000000,9000000,-147000000,None,147000000,17415000000,None,444000000,423000000,804000000,175000000,147000000,629000000,607000000,957000000,1374000000,629000000,USD,36713000000,15138000000,1668000000,1876000000,12365000000,None,21830000000,18923000000,17700000000,1272000000,1272000000,1272000000,290000000,290000000,208000000,897000000,805000000,31319000000,15069000000,9283000000,1356000000,1117000000,0,15423000000,None,14724000000,1117000000,None,14724000000,2507000000,963000000,5394000000,None,5156000000,403000000,806000000,USD,1011000000,233000000,None,267000000,435000000,455000000,303000000,None,481000000,629000000,-308000000,-1284000000,0,652000000,652000000,None,390000000,390000000,None,None,0,None,-629000000,None,-583000000,-2000000,629000000
92,2019Q1,99.53983606557378,100.5525655737705,98.64155737704918,99.79852459016394,4701795.557377049,0.8,0.77,0.03,3.8961,USD,4899000000,15500000000,952000000,10748000000,-568000000,5098000000,None,952000000,7000000,-147000000,None,147000000,15647000000,None,400000000,369000000,-725000000,99000000,147000000,-1904000000,-1904000000,-568000000,-209000000,-824000000,USD,34508000000,14228000000,511000000,729000000,12561000000,None,20242000000,18432000000,17431000000,303000000,569000000,303000000,256000000,256000000,218000000,938000000,995000000,30864000000,14497000000,8279000000,1299000000,1832000000,722000000,15540000000,None,14727000000,1110000000,None,15449000000,2425000000,1149000000,3644000000,None,3452000000,401000000,801000000,USD,-605000000,80000000,None,-1075000000,275000000,401000000,328000000,None,259000000,-824000000,-292000000,-203000000,722000000,539000000,539000000,None,387000000,387000000,None,None,0,None,-498000000,None,-1157000000,-3000000,-824000000
93,2019Q2,105.44412698412698,106.5070634920635,104.39952380952381,105.46857142857144,4991159.206349206,1.22,1.33,-0.11,-8.2707,USD,5581000000,17572000000,16324000000,12160000000,1417000000,3862000000,None,4164000000,7000000,-169000000,7000000,169000000,17741000000,None,324000000,302000000,1255000000,209000000,169000000,1046000000,998000000,1417000000,1726000000,1046000000,USD,43219000000,19335000000,2973000000,3163000000,15026000000,None,24119000000,18150000000,17300000000,None,None,303000000,235000000,235000000,190000000,1146000000,1078000000,39983000000,17781000000,11485000000,1376000000,1008000000,0,17301000000,388000000,17096000000,975000000,None,17096000000,2643000000,759000000,3236000000,None,3095000000,397000000,795000000,USD,2137000000,287000000,None,3459000000,2753000000,337000000,205000000,None,2478000000,1046000000,-131000000,446000000,-722000000,826000000,826000000,None,385000000,385000000,None,None,2972000000,None,-794000000,None,2462000000,-2000000,1046000000
