,Quarter,1. open,2. high,3. low,4. close,5. volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportedCurrency_x,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome_x,reportedCurrency_y,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome_y
75,2015Q1,71.15360655737705,71.78130491803279,70.53924098360655,71.19344262295083,4560419.081967213,0.75,0.73,0.02,2.7397,USD,1666300000,4644700000,2978400000,1192700000,-1158700000,1523500000,1039300000,2562800000,21400000,-40900000,None,40900000,0,112200000,204800000,154200000,617900000,88400000,40900000,529500000,-136200000,658800000,813000000,529500000,USD,35653900000,11742700000,3064800000,4139800000,2980200000,3825700000,15960500000,7950700000,8262600000,8894600000,4947700000,3946900000,4856400000,4576500000,1075000000,797000000,2489400000,20734100000,8342900000,1179600000,None,805400000,590000000,12364500000,None,8053400000,None,7415300000,8643400000,2516800000,1474400000,14919800000,90000000,16706800000,694100000,1064200000,USD,-84800000,20000000,None,None,-107100000,357500000,388600000,None,None,529500000,160800000,-701200000,-2088600000,310600000,310600000,None,527900000,527900000,None,None,2182000000,None,-310600000,None,-806800000,-181600000,529500000
76,2015Q2,76.04539682539682,76.7650888888889,75.47714920634921,76.19650793650794,5077208.285714285,0.87,0.77,0.1,12.987,USD,1899100000,4978700000,3079600000,1218400000,-1131600000,1635400000,1169500000,2804900000,20600000,-36800000,None,36800000,-166700000,59600000,216600000,153400000,679700000,78900000,203500000,600800000,855100000,716500000,869900000,600800000,USD,36036600000,12346000000,3315500000,4230900000,3288400000,4096600000,15668000000,8022600000,8381600000,8867600000,4842900000,4024700000,4200400000,4099100000,915400000,730100000,2701300000,21366300000,8232000000,1153000000,None,10800000,0,13099200000,None,8125000000,None,7988600000,8125000000,2625500000,1454100000,14670300000,90000000,16114900000,693300000,1061700000,USD,948600000,15000000,None,None,-559400000,368500000,359900000,None,None,600800000,182400000,-943200000,-590700000,124900000,124900000,None,539800000,539800000,None,None,2272600000,None,-124900000,None,250700000,62900000,600800000
77,2015Q3,84.56375,85.46048125,83.3937359375,84.42328125,5142236.375,0.9,0.74,0.16,21.6216,USD,1950600000,4959700000,3009100000,1236900000,-965000000,1575700000,1143400000,2719100000,21200000,-39300000,None,39300000,0,104600000,None,154100000,1047800000,248100000,39300000,799700000,535900000,1087100000,1241200000,799700000,USD,36304700000,12567000000,3238800000,4319200000,3417700000,4067700000,15662400000,8075300000,8536200000,8670800000,4615900000,4054900000,4460500000,4102000000,1080400000,762400000,2889600000,21083300000,8303300000,1179300000,None,9300000,0,12760500000,None,8191500000,None,8069600000,8191500000,2099700000,1422100000,15221400000,90000000,16856700000,693000000,1061400000,USD,1104700000,5000000,None,None,-4500000,358300000,323500000,None,None,799700000,-570100000,-595200000,-1400000,61100000,61100000,None,526300000,526300000,None,None,0,None,-61100000,None,-76700000,-16100000,799700000
78,2015Q4,82.93265625,83.83785,82.01375625,82.98546875,4974702.8125,0.89,0.76,0.13,17.1053,USD,3841500000,5375600000,1534100000,1389200000,598900000,1798400000,1444200000,3242600000,23800000,-44200000,None,44200000,0,65100000,None,170100000,444600000,-33800000,44200000,444600000,564700000,488800000,658900000,478400000,USD,35568900000,12573600000,3666400000,4451800000,3445800000,3513000000,14941800000,8053500000,8607400000,9074700000,5034800000,4039900000,3631800000,3646600000,785400000,604400000,2220500000,20997600000,8229600000,1338200000,None,6100000,6100000,12749000000,None,7978500000,6100000,7972400000,7978500000,2460300000,1747400000,14571300000,90000000,16011800000,691300000,1060452000,USD,996100000,1058600000,None,None,2494500000,343400000,554200000,None,-736300000,444600000,253700000,-871400000,100000,252900000,252900000,None,533300000,533300000,None,None,100000,None,-252900000,None,427600000,49200000,478400000
79,2016Q1,75.71196721311476,76.63452786885246,74.73565737704918,75.66622950819672,5539773.606557377,0.78,0.78,0,0,USD,1936800000,4865100000,2928300000,1323000000,-889500000,1473900000,1221000000,2694900000,24200000,-43400000,None,43400000,-203900000,74100000,None,385500000,566800000,126700000,43400000,440100000,756100000,610200000,978600000,440100000,USD,34691800000,11714600000,2307600000,2995000000,3740200000,4187400000,14944100000,8033100000,8750000000,8934900000,4889800000,4045100000,3627800000,3764300000,687400000,792000000,2244900000,19681900000,7340900000,1151600000,None,648300000,648300000,12321500000,None,8559500000,None,7477600000,8559500000,2276600000,1829300000,15009900000,80500000,16155000000,690300000,1059900000,USD,-219100000,150000000,None,None,30600000,385500000,154300000,None,None,440100000,-145400000,-924200000,-1100000,300100000,300100000,None,538300000,538300000,None,None,0,None,-300100000,None,-1358800000,-70100000,440100000
80,2016Q2,75.137890625,75.894596875,74.5118265625,75.28515625,4163634.40625,0.83,0.85,-0.02,-2.3529,USD,2259200000,5404800000,3145600000,1465000000,-757300000,1622600000,1335900000,2958500000,23500000,-43200000,None,43200000,0,40900000,None,373700000,944500000,196800000,43200000,747700000,641200000,987700000,1039300000,747700000,USD,36475300000,12977300000,3238000000,3934800000,3759900000,4493100000,15431900000,8066100000,8861500000,8832800000,4806300000,4026500000,4367900000,4449200000,696800000,789500000,2149900000,21838000000,8401000000,1207800000,None,645800000,645800000,13418100000,None,9331300000,645800000,8685500000,9331300000,2200600000,1907100000,14637300000,80500000,15824100000,690300000,1057700000,USD,1401900000,25000000,None,None,138000000,373700000,245400000,None,None,747700000,-1020900000,579300000,-300000,0,0,None,541200000,541200000,None,None,1206600000,None,0,None,930400000,-29900000,747700000
81,2016Q3,80.0728125,80.539546875,79.501078125,80.04140625,3439080.609375,0.86,0.86,0,0,USD,2179900000,5191700000,3011800000,1400900000,-667400000,1565400000,1236400000,2801800000,29100000,-47200000,None,47200000,0,45300000,None,392800000,970700000,192700000,47200000,778000000,891500000,1017900000,1034500000,778000000,USD,37590300000,13385900000,3489000000,4226800000,3881200000,4521400000,15952500000,8251900000,8985900000,8646200000,4638500000,4007700000,4860500000,5027000000,737800000,756500000,2279300000,22001100000,8272800000,1161200000,None,641500000,641500000,13701700000,None,9348800000,641500000,8707300000,9348800000,2001100000,2111000000,15589200000,80500000,16601600000,690400000,1057700000,USD,1661700000,10000000,None,None,182200000,392800000,227500000,None,None,778000000,-794700000,-600100000,-300000,0,0,None,537900000,537900000,None,None,0,None,0,None,251000000,-15900000,778000000
82,2016Q4,74.55559523809524,75.12627301587302,73.84214444444444,74.4726984126984,6030602.492063492,0.88,0.96,-0.08,-8.3333,USD,4146900000,5760500000,1613600000,1521200000,906200000,1866100000,1517000000,3240700000,31900000,-51400000,None,51400000,0,35300000,None,344600000,892000000,120200000,51400000,892000000,-196300000,943400000,1231400000,771800000,USD,38805900000,15101400000,4582100000,6038600000,3561900000,4029400000,15451900000,8252600000,8525000000,8330600000,4357900000,3972700000,5522900000,5207500000,1456500000,734600000,1913800000,24798200000,10986600000,1349300000,None,1937400000,1299300000,13738800000,None,9005900000,638100000,8367800000,10305200000,2220900000,2228200000,14007700000,80500000,16046300000,688500000,1058096000,USD,2006500000,662000000,None,None,-196600000,344600000,464800000,-709400000,-328200000,771800000,-1178100000,385200000,1294900000,60000000,60000000,None,541100000,541100000,None,None,0,None,-60000000,None,1093100000,-120500000,771800000
83,2017Q1,79.87572580645161,80.60560483870967,79.37871129032257,80.09532258064516,3988680.14516129,0.95,0.98,-0.03,-3.0612,USD,2142000000,5228300000,3086300000,1347900000,-854900000,1567700000,1258300000,2826000000,32600000,-46600000,None,46600000,None,29100000,None,386900000,61200000,172000000,46600000,-110800000,87900000,107800000,2189100000,-110800000,USD,37624300000,12976200000,2616900000,3505600000,4035100000,4613900000,16222600000,8425500000,8711100000,8904700000,4716700000,4188000000,5118500000,5297700000,888700000,821600000,2020200000,23593300000,10448000000,1220100000,None,2609300000,1799700000,13072600000,None,8447100000,809600000,7637500000,10246800000,2232600000,2282200000,14031000000,75800000,15876700000,690000000,1056300000,USD,339900000,15000000,None,None,128800000,386900000,1000800000,None,None,-110800000,-1429600000,-875700000,497500000,0,0,None,547400000,547400000,None,None,0,None,0,None,-1965200000,200000,-110800000
84,2017Q2,81.56285714285714,82.09247936507937,81.04619206349206,81.58380952380952,3735212.111111111,0.98,0.96,0.02,2.0833,USD,2515300000,5824300000,3309000000,1571700000,-493000000,1730400000,1272100000,3002500000,36900000,-53600000,None,53600000,None,12800000,None,395600000,1260500000,252500000,53600000,1008000000,1292800000,1314100000,1364400000,1008000000,USD,40946500000,15746500000,3069900000,5434100000,4346000000,4956100000,16617200000,8582800000,8950200000,8833400000,4542600000,4290800000,7051600000,5723300000,2364200000,1010300000,2060500000,26845700000,11294500000,1257200000,None,2444200000,1425000000,15482300000,None,10887100000,1019200000,9867900000,12312100000,2112100000,2443800000,14100800000,75800000,15590100000,688500000,1055000000,USD,1651100000,5000000,None,None,166300000,395600000,221600000,None,None,1008000000,-2248900000,1059900000,-371800000,199900000,199900000,None,548700000,548700000,None,None,0,None,0,None,453000000,-9100000,1008000000
85,2017Q3,81.96650793650794,82.54005238095237,81.42168412698413,82.01746031746032,3414430.285714286,1.11,1.05,0.06,5.7143,USD,2129900000,5658000000,3528100000,1586300000,-1151500000,1578500000,1340000000,2918500000,45100000,-61900000,None,61900000,None,2900000,None,372900000,591600000,36000000,61900000,555600000,723300000,653500000,1828500000,555600000,USD,43010400000,17428400000,3724300000,6943100000,4406900000,5014500000,16983500000,8598500000,9132200000,8637200000,4271600000,4365600000,8343700000,6148700000,3218800000,1063900000,2197600000,28120100000,12666500000,1200100000,None,3538100000,2526000000,15383300000,None,10938700000,1012100000,9926600000,13464700000,2360100000,2288600000,14890300000,75800000,16145500000,688500000,1053400000,USD,1881100000,10000000,None,None,-446800000,372900000,447700000,None,None,555600000,-1758000000,500700000,1101100000,0,0,None,547700000,547700000,None,None,0,None,0,None,654400000,30600000,555600000
86,2017Q4,85.11619047619047,85.71650793650794,84.54029206349207,85.08619047619048,3172701.3333333335,1.05,1.03,0.02,1.9417,USD,3532700000,6160700000,2628000000,1644900000,279000000,1105800000,1225800000,3290400000,52700000,-62900000,None,62900000,None,66300000,None,411900000,284100000,1941000000,62900000,-1656900000,-1656900000,347000000,2335400000,-1656900000,USD,44981000000,19202100000,6536200000,8034100000,4458300000,4546300000,16952400000,8826500000,9264600000,8399300000,4029200000,4370100000,6174900000,5678800000,1497900000,1447500000,1707900000,33388800000,14535900000,1410700000,None,3706600000,2696800000,18777200000,None,10950300000,1009800000,9940500000,13647100000,2832100000,1546300000,11592200000,75800000,13894100000,687900000,1043692000,USD,1743500000,409200000,None,None,1783600000,411900000,493500000,-357000000,-253900000,-1656900000,1652900000,-542300000,170700000,99900000,99900000,None,548300000,548300000,None,None,0,None,-99900000,None,2811900000,-42200000,-1656900000
87,2018Q1,80.60213114754099,81.38754098360656,79.75196721311475,80.50409836065573,4843452.868852459,1.14,1.07,0.07,6.5421,USD,2550400000,4963800000,3149600000,1164600000,-204800000,1338700000,1107500000,2446200000,45500000,-61200000,None,61200000,0,29200000,None,422800000,1415900000,198500000,61200000,1217400000,1603700000,1477100000,2003300000,1217400000,USD,44355600000,16261500000,3084300000,4789500000,4631300000,5270700000,19135900000,8958200000,9539600000,8332400000,3920000000,4412400000,6047100000,5375100000,1705200000,1570000000,1746800000,29828600000,11547000000,1267400000,None,2304200000,1494300000,18220800000,None,10203400000,809900000,9393500000,11697700000,2346300000,1574100000,14527000000,69300000,16608200000,680800000,1048000000,USD,436500000,15000000,None,None,22700000,422800000,236500000,None,7800000,1217400000,-170300000,-3866500000,-1202500000,1100000000,1100000000,None,587300000,587300000,None,None,0,None,-1100000000,None,-3451900000,148400000,1217400000
88,2018Q2,82.0034375,82.698125,81.4740625,82.13484375,3854115.96875,1.34,1.13,0.21,18.5841,USD,2979300000,5585000000,3375900000,1234300000,-81900000,1485600000,1271000000,2756600000,41200000,-63300000,None,63300000,0,13900000,None,425200000,13400000,273300000,63300000,-259900000,-931100000,76700000,3364600000,-259900000,USD,42359200000,18332700000,6817300000,6909500000,4155500000,5579100000,15255700000,8770800000,9566100000,8105200000,3772100000,4333100000,1047700000,2059600000,92200000,1688600000,1776500000,30804000000,13055200000,1316900000,None,3049100000,2448000000,17683200000,None,9771600000,601100000,9170500000,12219600000,2190500000,1585600000,11555200000,69400000,14247300000,673500000,1030200000,USD,1517500000,10000000,None,None,-157500000,425200000,1858200000,None,7800000,-259900000,3133400000,-831400000,953800000,950700000,950700000,None,579300000,579300000,None,None,0,None,-950700000,None,3733000000,-86500000,-259900000
89,2018Q3,99.6515873015873,100.54341428571428,99.11515873015873,99.97603174603174,3583293.6666666665,1.5,1.3,0.2,15.3846,USD,2862600000,5306900000,3199300000,1152900000,-180600000,1457200000,1280900000,2738100000,32100000,-69400000,-8600000,60800000,0,-35700000,None,415500000,1397000000,247500000,69400000,1149500000,1809700000,1457800000,2009200000,1149500000,USD,44625100000,20685900000,8960000000,9036100000,4118000000,5652600000,15125100000,8814100000,9671700000,7977800000,3619400000,4358400000,985100000,2005800000,76100000,1879200000,2009200000,31548500000,10826700000,1281200000,None,1002200000,399700000,19647500000,None,12277100000,602500000,11674700000,12676800000,2146200000,1547800000,13076600000,69400000,14408700000,667100000,1020400000,USD,2121800000,10000000,None,None,-26800000,415500000,299800000,None,7800000,1149500000,-398100000,432700000,-2048400000,1000000000,1000000000,None,572600000,572600000,None,None,2477700000,None,-1000000000,None,2142700000,-13700000,1149500000
90,2018Q4,111.774126984127,113.00984126984127,110.35880317460317,111.70666666666668,4973251.19047619,1.39,1.35,0.04,2.963,USD,4598900000,5637600000,1839700000,1129900000,1283600000,1693600000,1391800000,3085500000,42500000,-78200000,-21000000,57200000,242100000,-19100000,None,345500000,935200000,-189800000,-163900000,1125100000,1125100000,992400000,2105000000,1125000000,USD,43908400000,20549600000,7320700000,7408900000,3098100000,5246500000,14439300000,7996100000,8666900000,2434600000,1068000000,1366600000,943000000,2005400000,88200000,2146500000,1824900000,34079700000,11888100000,1207100000,294900000,1102200000,498900000,21111200000,None,9799700000,603300000,9196400000,10298600000,2036700000,1357600000,9828700000,69400000,11395900000,661000000,1011284000,USD,1448700000,1290300000,None,None,807000000,345500000,394300000,-996700000,7800000,1125100000,-659000000,-1639700000,99200000,1100000000,1100000000,None,572600000,572600000,None,None,0,None,-1100000000,None,-961800000,-111800000,1125000000
91,2019Q1,121.19590163934426,122.5939344262295,120.19,121.59983606557377,17141152.393442623,1.33,1.34,-0.01,-0.7463,USD,2068400000,5092200000,3023800000,1138700000,-1103100000,1517100000,1230500000,2747600000,30600000,-86500000,104800000,86500000,3680500000,86000000,None,356500000,4411600000,170000000,86500000,561100000,4294300000,4498100000,1766700000,4241600000,USD,38006800000,12597500000,2036400000,2137100000,3055200000,5178000000,22351800000,7780000000,8792100000,10497400000,6641500000,3855900000,935700000,2111400000,100700000,2227200000,1963000000,35526500000,11236100000,1168100000,None,2354900000,2349600000,24205700000,508200000,13615500000,5300000,13610200000,15965100000,2254300000,1169800000,2480300000,62100000,4879400000,607100000,979900000,USD,311300000,10000000,None,None,72400000,356500000,203700000,None,-258700000,4241600000,-7678700000,1367800000,1850400000,3500000000,3500000000,None,637200000,637200000,None,None,4448300000,None,-3500000000,None,-5961800000,37800000,4241600000
