,Quarter,1. open,2. high,3. low,4. close,5. volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime,reportedCurrency_x,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome_x,reportedCurrency_y,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome_y
69,2013Q3,75.63796875,76.030584375,75.2135984375,75.6290625,5796625.0,1.25,1.25,0,0,pre-market,USD,29409000000,116829000000,87420000000,87455000000,6777000000,22633000000,None,23286000000,36000000,-552000000,37000000,589000000,None,None,None,2215000000,6089000000,2020000000,589000000,4062000000,3148000000,6777000000,8893000000,4069000000,USD,200969000000,60002000000,9016000000,9016000000,42793000000,5996000000,138335000000,113362000000,54724000000,19280000000,19280000000,19280000000,None,None,16000000,2197000000,5693000000,129308000000,72214000000,36701000000,None,13640000000,8639000000,43585000000,2907000000,45370000000,4692000000,40678000000,54009000000,21757000000,None,71661000000,None,70791000000,327000000,3278000000,USD,6357000000,None,None,-457000000,-210000000,2223000000,3098000000,122000000,15000000,4216000000,-3055000000,-3121000000,2420000000,1850000000,1850000000,None,1543000000,1543000000,None,None,349000000,None,-1850000000,None,161000000,-20000000,4069000000
70,2013Q4,77.3726546875,77.80515625,76.92456875,77.4728125,5966926.5625,1.14,1.13,0.01,0.885,pre-market,USD,29001000000,115688000000,86687000000,86687000000,6310000000,22691000000,None,23283000000,12000000,-580000000,12000000,592000000,None,None,None,2198000000,5598000000,1860000000,592000000,3727000000,4444000000,6310000000,8388000000,3738000000,USD,209876000000,67142000000,8736000000,8736000000,49673000000,6206000000,140161000000,114654000000,56313000000,19729000000,19729000000,19729000000,None,None,11000000,2527000000,5778000000,136483000000,77021000000,39221000000,None,17279000000,12817000000,44543000000,2841000000,45849000000,4147000000,41702000000,58666000000,87000000,None,73393000000,None,72888000000,324000000,3257000000,USD,2069000000,None,None,2304000000,6934000000,2183000000,3440000000,254000000,6799000000,3885000000,-3104000000,840000000,4177000000,1710000000,1710000000,None,1533000000,1533000000,None,None,1727000000,None,-1710000000,None,-280000000,-85000000,3738000000
71,2014Q1,75.33926229508197,75.80245737704918,74.86335901639345,75.33721311475409,7050401.639344262,1.6,1.59,0.01,0.6289,pre-market,USD,31735000000,129706000000,97971000000,97971000000,7347000000,24388000000,None,30377000000,27000000,-554000000,27000000,581000000,None,None,None,2270000000,6680000000,2249000000,581000000,4354000000,3618000000,7347000000,9531000000,4431000000,USD,204541000000,61185000000,7281000000,7281000000,44858000000,6677000000,141023000000,115364000000,57725000000,19510000000,19510000000,19510000000,None,None,5000000,2369000000,6149000000,128496000000,69345000000,37415000000,641000000,12082000000,7670000000,44559000000,2788000000,45874000000,4103000000,41771000000,45874000000,89000000,None,76255000000,None,76566000000,323000000,3239000000,USD,9937000000,None,None,-283000000,-2933000000,2270000000,3609000000,757000000,-4563000000,4650000000,-3385000000,-7753000000,-5135000000,877000000,877000000,None,1514000000,1514000000,None,None,19000000,None,-769000000,None,-1455000000,-254000000,4431000000
72,2014Q2,77.03642857142857,77.39079523809524,76.68951746031746,77.06650793650793,6048968.253968254,1.1,1.15,-0.05,-4.3478,pre-market,USD,28246000000,114960000000,86714000000,86714000000,6193000000,22053000000,None,24895000000,24000000,-568000000,24000000,592000000,None,None,None,2250000000,5507000000,1914000000,592000000,3582000000,3877000000,6193000000,8349000000,3593000000,USD,202517000000,59687000000,6012000000,6012000000,45315000000,6096000000,140562000000,115146000000,59585000000,19515000000,19515000000,19515000000,None,None,None,2264000000,5672000000,129429000000,67921000000,36347000000,None,7104000000,3517000000,48441000000,2742000000,48986000000,3266000000,45491000000,48986000000,70000000,None,73088000000,None,73366000000,323000000,3233000000,USD,5939000000,None,None,-781000000,-216000000,2250000000,2157000000,-613000000,423000000,3726000000,-2121000000,-5177000000,-4129000000,626000000,626000000,None,1547000000,1547000000,None,None,4519000000,None,-626000000,None,-1269000000,90000000,3593000000
73,2014Q3,75.675625,76.06240625,75.3764265625,75.74859375,5359256.328125,1.21,1.21,0,0,pre-market,USD,30115000000,120125000000,90010000000,90010000000,6740000000,23375000000,None,23945000000,32000000,-538000000,32000000,570000000,None,None,None,2277000000,6206000000,2113000000,570000000,3923000000,4848000000,6740000000,9053000000,4093000000,USD,203762000000,59632000000,6184000000,6184000000,45451000000,6146000000,141896000000,116266000000,61709000000,19758000000,19758000000,19758000000,None,None,None,1851000000,5649000000,126016000000,67132000000,36828000000,None,8476000000,3516000000,45699000000,2695000000,47663000000,4639000000,42801000000,47663000000,21337000000,None,77746000000,None,77172000000,323000000,3230000000,USD,5961000000,None,None,-693000000,-164000000,2277000000,2956000000,-91000000,-20000000,4359000000,-2219000000,-3578000000,-1000000,307000000,307000000,None,1547000000,1547000000,None,None,46000000,None,-307000000,None,172000000,8000000,4093000000
74,2014Q4,80.95296875,81.607428125,80.4323421875,81.05984375,7431565.484375,1.15,1.12,0.03,2.6786,pre-market,USD,29754000000,119001000000,89247000000,89247000000,6265000000,23489000000,None,23489000000,20000000,-656000000,20000000,676000000,None,None,None,2354000000,5494000000,1783000000,676000000,3711000000,1417000000,6265000000,8524000000,3711000000,USD,207668000000,65841000000,6718000000,6718000000,51501000000,6091000000,139531000000,114975000000,62519000000,18888000000,18888000000,18888000000,None,None,None,1531000000,5447000000,128559000000,71540000000,39656000000,None,11195000000,6019000000,44487000000,2767000000,46594000000,4854000000,41519000000,46594000000,20326000000,None,79109000000,None,80814000000,323000000,3229000000,USD,3570000000,None,None,4548000000,7542000000,2354000000,3130000000,-245000000,6526000000,3826000000,-2817000000,-103000000,2287000000,82000000,82000000,None,1545000000,1545000000,None,None,555000000,None,-82000000,None,534000000,-116000000,3711000000
75,2015Q1,85.09590163934426,85.69862295081967,84.49150819672131,85.1072131147541,7211409.409836066,1.61,1.53,0.08,5.2288,pre-market,USD,32450000000,131565000000,99115000000,99115000000,7949000000,24501000000,None,27110000000,37000000,-586000000,37000000,623000000,None,None,None,2292000000,7141000000,2175000000,623000000,4966000000,2049000000,7949000000,10056000000,4966000000,USD,203490000000,63278000000,9135000000,9135000000,45141000000,6778000000,138053000000,114280000000,63115000000,18102000000,18102000000,18102000000,None,512000000,None,2224000000,5455000000,122096000000,65253000000,38410000000,759000000,6689000000,1592000000,43692000000,2606000000,45680000000,4791000000,40889000000,45680000000,16560000000,None,81394000000,None,85777000000,323000000,3227000000,USD,13094000000,None,None,1019000000,-5430000000,2292000000,3931000000,-1028000000,-5700000000,5188000000,-3968000000,-6213000000,-4445000000,0,0,None,1546000000,1546000000,None,None,54000000,None,0,None,2417000000,-496000000,4966000000
76,2015Q2,76.67873015873016,77.06594761904762,76.19099682539682,76.49253968253967,7480293.285714285,1.03,1.04,-0.01,-0.9615,pre-market,USD,28343000000,114826000000,86483000000,86483000000,5680000000,22663000000,None,24982000000,19000000,-824000000,19000000,843000000,None,None,None,2319000000,4914000000,1573000000,843000000,3341000000,1914000000,5680000000,8076000000,3341000000,USD,200747000000,62133000000,7759000000,7759000000,46310000000,5813000000,135080000000,112151000000,64252000000,17531000000,17531000000,17531000000,None,None,None,2251000000,5398000000,124173000000,69624000000,37224000000,None,7267000000,799000000,42964000000,4097000000,44908000000,6041000000,38867000000,44908000000,23426000000,None,76574000000,None,82492000000,323000000,3231000000,USD,4446000000,None,None,-543000000,1634000000,2319000000,2203000000,782000000,1475000000,3283000000,-2113000000,-3695000000,-741000000,280000000,280000000,None,1579000000,1579000000,None,None,43000000,None,-280000000,None,-1376000000,-14000000,3341000000
77,2015Q3,68.88421875,69.3657796875,68.328609375,68.8253125,8880583.359375,1.08,1.12,-0.04,-3.5714,pre-market,USD,30173000000,120229000000,90056000000,90056000000,6069000000,24104000000,None,24104000000,24000000,-543000000,24000000,567000000,None,None,None,2339000000,5366000000,1891000000,567000000,3475000000,3682000000,6069000000,8272000000,3475000000,USD,198620000000,58132000000,5751000000,5751000000,45007000000,5275000000,136801000000,112824000000,66075000000,17799000000,17799000000,17799000000,None,None,None,2099000000,6178000000,119749000000,65262000000,37225000000,None,6212000000,1725000000,42843000000,4262000000,42605000000,4024000000,38581000000,42605000000,21452000000,None,78871000000,None,84959000000,321000000,3221000000,USD,5656000000,None,None,-1523000000,-1011000000,2339000000,2841000000,-99000000,-1248000000,3635000000,-2489000000,-5079000000,1015000000,1003000000,1003000000,None,1578000000,1578000000,None,None,-1000000,None,-1003000000,None,-2008000000,-96000000,3475000000
78,2015Q4,60.2696875,60.779859375,59.776171875,60.19328125,12478871.734375,0.99,0.98,0.01,1.0204,pre-market,USD,29962000000,117408000000,87446000000,87446000000,5714000000,24248000000,None,24248000000,21000000,-552000000,21000000,573000000,None,None,None,2365000000,5052000000,1748000000,573000000,3304000000,1033000000,5714000000,7990000000,3304000000,USD,205144000000,65112000000,6990000000,6990000000,50706000000,5012000000,133911000000,110835000000,65825000000,17051000000,17051000000,17051000000,None,None,None,2404000000,6025000000,125573000000,70492000000,40553000000,None,8264000000,4960000000,44198000000,5581000000,41363000000,2746000000,38617000000,41363000000,21088000000,None,79571000000,None,87903000000,321000000,3210000000,USD,4903000000,None,None,5913000000,7001000000,2365000000,3179000000,100000000,6410000000,3414000000,-2965000000,-485000000,3263000000,437000000,437000000,None,1571000000,1571000000,None,None,-1000000,None,-437000000,None,1239000000,-214000000,3304000000
79,2016Q1,65.56967213114754,66.34562459016394,65.02031147540984,65.77655737704917,11978700.37704918,1.49,1.46,0.03,2.0548,pre-market,USD,32668000000,129667000000,96999000000,96999000000,6642000000,26026000000,None,28728000000,17000000,-548000000,17000000,565000000,None,None,None,2431000000,5920000000,1346000000,565000000,4574000000,3636000000,6642000000,8916000000,4574000000,USD,199581000000,60239000000,8705000000,8705000000,44469000000,5624000000,132997000000,110171000000,66787000000,16695000000,16695000000,16695000000,None,621000000,None,1441000000,6131000000,119035000000,64619000000,38487000000,744000000,6004000000,2708000000,44030000000,5816000000,40959000000,2745000000,38214000000,40959000000,17063000000,None,80546000000,None,90021000000,317000000,3165000000,USD,12547000000,None,None,-1008000000,-6249000000,2431000000,3254000000,-802000000,-5934000000,4748000000,-3108000000,-7026000000,-2302000000,2392000000,2392000000,None,1566000000,1566000000,None,None,-2000000,None,-2392000000,None,1715000000,-698000000,4574000000
80,2016Q2,69.35,69.8574515625,68.918609375,69.4384375,8752779.828125,0.98,0.88,0.1,11.3636,pre-market,USD,29360000000,115904000000,86544000000,86544000000,5275000000,24085000000,None,26473000000,24000000,-561000000,24000000,585000000,None,None,None,2388000000,4577000000,1498000000,585000000,3079000000,3681000000,5275000000,7550000000,3079000000,USD,198705000000,59097000000,7597000000,7597000000,44513000000,5187000000,132901000000,109787000000,68509000000,16751000000,16751000000,16751000000,None,None,None,1800000000,6363000000,123522000000,70282000000,37997000000,None,6629000000,3813000000,43393000000,6242000000,39408000000,2257000000,37151000000,39408000000,24328000000,None,75183000000,None,84145000000,313000000,3144000000,USD,6193000000,None,None,-14000000,-142000000,2388000000,2209000000,494000000,-264000000,3216000000,-2119000000,-5432000000,1065000000,2735000000,2735000000,None,1573000000,1573000000,None,None,127000000,None,-2735000000,None,-1108000000,250000000,3079000000
81,2016Q3,72.845625,73.23090625,72.386290625,72.7828125,8232608.84375,1.07,1.02,0.05,4.902,pre-market,USD,31369000000,120854000000,89485000000,89485000000,6165000000,25204000000,None,25204000000,22000000,-566000000,22000000,588000000,0,None,None,2517000000,5483000000,1710000000,588000000,3773000000,3096000000,6165000000,8588000000,3773000000,USD,197886000000,58232000000,7676000000,7676000000,43453000000,5275000000,133111000000,108867000000,69729000000,16339000000,16339000000,16339000000,None,None,None,1828000000,7905000000,121361000000,68122000000,39902000000,None,4748000000,1932000000,42743000000,6070000000,38938000000,2265000000,36673000000,38938000000,22752000000,None,76525000000,None,85972000000,310000000,3109000000,USD,8738000000,None,None,1765000000,-946000000,2517000000,2410000000,-51000000,-791000000,3889000000,-2297000000,-5782000000,-1922000000,2117000000,2117000000,None,1560000000,1560000000,None,None,3000000,None,-2117000000,None,79000000,-580000000,3773000000
82,2016Q4,70.0047619047619,70.45890793650794,69.60896666666666,70.02111111111111,8628770.603174603,0.98,0.96,0.02,2.0833,pre-market,USD,30695000000,118179000000,87484000000,87484000000,5119000000,25576000000,None,25576000000,24000000,-585000000,24000000,609000000,0,None,None,2469000000,4366000000,1332000000,609000000,3034000000,2371000000,5119000000,7444000000,3034000000,USD,206857000000,63401000000,5939000000,5939000000,49822000000,5344000000,137044000000,108676000000,70991000000,17792000000,17792000000,17792000000,None,None,None,2296000000,10576000000,129164000000,74130000000,42990000000,None,7897000000,5082000000,42108000000,5930000000,38444000000,2266000000,36178000000,38444000000,22784000000,None,77693000000,None,87636000000,308000000,3089000000,USD,4850000000,None,None,4677000000,5437000000,2469000000,2840000000,-172000000,6571000000,3202000000,-6634000000,-58000000,3159000000,1402000000,1402000000,None,1549000000,1549000000,None,None,4000000,None,-1402000000,None,-1737000000,105000000,3034000000
83,2017Q1,68.99225806451612,69.47375483870968,68.6285064516129,69.03903225806452,9364409.338709677,1.3,1.29,0.01,0.7752,pre-market,USD,33193000000,130936000000,97743000000,97743000000,6205000000,26988000000,None,29825000000,30000000,-555000000,30000000,585000000,0,None,None,2706000000,5421000000,1664000000,585000000,3757000000,1860000000,6205000000,8712000000,3757000000,USD,198825000000,57689000000,6867000000,6867000000,43046000000,5835000000,134668000000,107710000000,71782000000,17037000000,17037000000,17037000000,None,479000000,None,1941000000,9921000000,121027000000,66928000000,41433000000,743000000,3920000000,1099000000,42018000000,6003000000,38271000000,2256000000,36015000000,38271000000,17838000000,None,77798000000,None,89354000000,305000000,3062000000,USD,11892000000,None,None,-857000000,-6131000000,2706000000,3160000000,-673000000,-6537000000,3986000000,-2846000000,-7800000000,-3975000000,2044000000,2044000000,None,1534000000,1534000000,None,None,3000000,None,-2044000000,None,928000000,-227000000,3757000000
