,Quarter,1. open,2. high,3. low,4. close,5. volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime,reportedCurrency_x,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome_x,reportedCurrency_y,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome_y
52,2012Q2,13.060315873015872,13.245990476190476,12.830333333333334,13.003333333333334,12877104.761904761,0.003,0.002,0.001,50,pre-market,USD,463364000,924877000,461513000,461513000,72826000,106636000,283902000,390538000,5198000,None,None,5198000,None,-929000,None,54491000,77095000,16658000,None,60437000,60270000,72826000,127317000,60437000,USD,5708167000,4032116000,369135000,3130812000,342707000,None,1676051000,553541000,None,1004425000,363395000,641030000,None,None,2761677000,118085000,None,1420739000,947404000,395578000,406705000,None,251780000,473335000,20830000,20830000,None,None,272610000,27679000,452505000,4287428000,1509088000,2790855000,707000,615780000,USD,-9208000,744000,None,33516000,-127542000,16600000,28923000,-75369000,-2191000,60437000,-335054000,45521000,None,0,0,None,0,None,None,None,None,None,37400000,None,-298741000,None,60437000
53,2012Q3,13.66126984126984,13.857033333333334,13.456715873015874,13.653428571428572,10780334.92063492,0.006,0.004,0.002,50,pre-market,USD,540719000,1044270000,503551000,503551000,139623000,119903000,281193000,401096000,5316000,None,None,5316000,None,269000,None,56195000,145208000,26162000,None,119046000,119758000,139623000,195818000,119046000,USD,5891881000,4213851000,499618000,3278100000,387185000,None,1678030000,574056000,None,987968000,346938000,641030000,None,None,2778482000,116006000,None,1438216000,1021960000,417250000,341354000,None,300726000,416256000,20237000,20237000,None,None,320963000,30802000,396019000,4453665000,1509087000,2909901000,713000,618996000,USD,200886000,730000,None,32130000,-31928000,17200000,61944000,-33849000,-44643000,119046000,-84703000,14300000,None,0,0,None,0,None,None,None,None,None,5300000,None,130483000,None,119046000
54,2012Q4,12.403064516129032,12.564917741935483,12.222759677419354,12.376904838709677,10547872.58064516,0.008,0.007,0.001,14.2857,pre-market,USD,636658000,1204110000,567452000,567452000,252217000,100261000,284180000,384441000,4701000,None,None,4701000,None,-3290000,None,57148000,253628000,44548000,None,209080000,208780000,252217000,309365000,209080000,USD,6075144000,4424827000,525388000,3434772000,428983000,None,1650317000,566540000,None,972278000,331248000,641030000,None,None,2909384000,111499000,None,1352298000,991359000,390265000,271193000,None,295026000,360939000,19627000,19627000,None,None,314653000,37065000,341312000,4722846000,1522709000,3118981000,719000,622352000,USD,181485000,715000,-2707000,-16547000,-49918000,17300000,44684000,210000,-41544000,209080000,-182799000,27084000,None,0,0,None,0,None,None,None,None,None,20100000,None,25770000,None,209080000
55,2013Q1,12.480748333333334,12.617018333333334,12.345436666666666,12.483625,10707083.333333334,0.007,0.006,0.001,16.6667,pre-market,USD,585602000,1106902000,521300000,521300000,183573000,104022000,298007000,402029000,4693000,None,None,1399000,None,1136000,None,58401000,186108000,12135000,None,585602000,173094000,183573000,241974000,173973000,USD,6412245000,4775258000,733000000,3727883000,412467000,None,1636987000,576144000,712638000,953362000,312332000,641030000,None,None,2995097000,107481000,107481000,1585245000,976223000,356428000,509757000,None,311030000,608319000,18998000,0,None,None,330028000,35160000,589321000,4827000000,1622709000,3246088000,720000,616756134,USD,451009000,583000,24463000,-38214000,407277000,126900000,47758000,227948000,167327000,585602000,-141436000,-102175000,None,100000000,100000000,None,46866000,46900000,None,None,None,None,-100000000,None,207398000,None,173973000
56,2013Q2,13.79328125,13.9677515625,13.6333984375,13.808515625,10536454.6875,0.0045,0.002,0.0025,125,pre-market,USD,518568000,954739000,436171000,436171000,82781000,108626000,327161000,435787000,5076000,-853000,None,853000,None,1058000,None,59744000,88062000,10171000,853000,77891000,78203000,88915000,148659000,77891000,USD,6279527000,4606616000,561423000,3713351000,377597000,None,1672911000,588023000,None,977763000,336733000,641030000,None,None,3151928000,107125000,None,1454591000,925577000,328259000,439637000,None,293412000,529766000,18333000,18333000,None,None,311745000,34337000,510681000,4824936000,1737025000,3277713000,725000,616872000,USD,175650000,10775000,None,-53101000,159159000,17400000,65667000,108476000,-41510000,77891000,-230786000,-116227000,None,100000000,100000000,None,46267000,46267000,None,None,None,None,-100000000,None,-171363000,None,77891000
57,2013Q3,14.831093749999999,14.9976796875,14.7319984375,14.868796875,6920413.8125,0.004,0.003,0.001,33.3333,pre-market,USD,545538000,977238000,431700000,431700000,105534000,108266000,331738000,440004000,3865000,-836000,None,836000,None,3257000,None,61840000,111820000,15372000,836000,96448000,92052000,112656000,174496000,96448000,USD,5569592000,3922608000,591321000,2935893000,378280000,None,1646984000,578948000,None,963550000,322520000,641030000,None,None,2344572000,104486000,None,1397419000,935791000,310271000,371263000,None,317953000,461628000,17685000,17685000,None,None,335638000,40315000,443943000,4172173000,2269766000,3330815000,726000,585345000,USD,96469000,7879000,None,16649000,-87677000,18600000,84986000,-71205000,6788000,96448000,711818000,-778389000,None,750000000,750000000,None,43343000,43343000,None,None,None,None,-750000000,None,781800000,None,96448000
58,2013Q4,15.49078125,15.6280765625,15.341078125,15.487578125,7253931.25,0.005,0.005,0,0,pre-market,USD,584415000,1053967000,469552000,469552000,140988000,103133000,340294000,443427000,4022000,-819000,None,819000,None,-2707000,None,62726000,141484000,22750000,819000,118734000,118699000,142303000,205029000,118734000,USD,5711373000,4049841000,562084000,3032954000,380319000,None,1661532000,595418000,None,963768000,320589000,643179000,None,None,2470870000,102346000,None,1390726000,985927000,333283000,320913000,None,314562000,404799000,17015000,17015000,None,None,331577000,55424000,387784000,4320647000,2499990000,3406154000,732000,580870000,USD,162315000,7004000,None,-1924000,-28600000,19600000,38159000,-29465000,2544000,118734000,-187373000,-4179000,None,0,0,None,43397000,43397000,None,None,None,None,33400000,None,-29237000,None,118734000
59,2014Q1,17.08622950819672,17.29942786885246,16.911304918032787,17.1122131147541,8344921.31147541,0.006,0.005,0.001,20,pre-market,USD,619242000,1144218000,524976000,524976000,166697000,115975000,336807000,452782000,4156000,-7935000,-443000,7492000,None,5392000,None,54690000,168624000,21707000,7935000,619242000,146046000,176116000,230806000,146917000,USD,7250894000,5624711000,1152000000,4671810000,387765000,None,1626183000,582740000,700080000,939191000,296012000,643179000,None,None,3520223000,104252000,104252000,2795894000,945496000,324391000,445307000,None,308110000,1849000000,17500000,1356375000,None,None,1681985000,30590000,475125000,4455000000,2537295000,3504742000,732000,567996734,USD,400566000,2661000,None,17994000,-96385000,185734000,66374000,-36658000,7178000,619242000,-1099659000,1288795000,None,37000000,37304000,None,47993000,48329000,None,None,None,None,-37304000,None,589702000,None,146917000
60,2014Q2,18.68126984126984,18.87931746031746,18.491353968253968,18.683539682539685,7074103.174603174,0.006,0.004,0.002,50,pre-market,USD,604000000,1103000000,499000000,498585000,151000000,119000000,334000000,453000000,5710000,-11471000,-471000,11000000,None,17000000,None,55000000,163000000,26000000,11471000,136516000,138000000,174000000,229000000,137000000,USD,6864663000,5273798000,509000000,4347817000,393280000,None,1590865000,570802000,None,920709000,277530000,643179000,None,None,3838652000,99354000,None,2697678000,897945000,309008000,371837000,None,287927000,1799733000,16683000,1363276000,None,None,1667886000,25299000,419774000,4166985000,2926789000,3594527000,743000,559092000,USD,151000000,4677000,None,-14880000,-21845000,26050000,29068000,-28077000,6000000,136516000,-330000000,-464000000,None,500000000,500000000,None,47000000,46731000,None,80000000,1477500000,59100000,-500000000,None,-643000000,None,137000000
61,2014Q3,18.84921875,19.0271875,18.6677140625,18.8427734375,6976464.0,0.006,0.005,0.001,20,pre-market,USD,619000000,1103000000,484000000,483850000,163000000,119000000,337000000,456000000,6829000,-11526000,474000,12000000,None,-3000000,None,56000000,155000000,27000000,11526000,127976000,126000000,167000000,223000000,128000000,USD,6933719000,5377586000,515000000,4386054000,387434000,None,1556133000,556911000,None,903792000,260613000,643179000,None,None,3870962000,95430000,None,2628933000,868729000,261627000,305767000,None,303369000,1760204000,15842000,1370249000,None,None,1689460000,26700000,374113000,4304786000,3058149000,3675071000,744000,558223000,USD,96000000,10789000,None,-48768000,63546000,26322000,22527000,73824000,-7000000,127976000,-64000000,-26000000,None,0,0,None,47400000,47432000,None,18000000,None,None,17800000,None,6000000,None,128000000
