,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,Quarter
44,USD,29709000,None,None,None,None,6590000,16779000,3602000,0,None,-19277000,8134000,None,None,None,None,0,0,None,None,None,None,0,None,18566000,None,-50192000,2012Q3
45,USD,30429000,None,None,None,None,5848000,12431000,5912000,0,None,7902000,5983000,None,None,None,None,0,0,None,None,None,None,0,None,44314000,None,34990000,2012Q2
46,USD,-878000,None,None,None,None,5014000,7605000,3770000,0,None,-8951000,-7763000,None,None,None,None,0,0,None,None,None,None,0,None,-17592000,None,-111522000,2012Q1
47,USD,64556000,None,None,None,None,4692000,19365000,None,0,None,0,-103505000,None,None,None,None,0,0,None,None,None,None,0,None,None,None,31942000,2011Q4
48,USD,4959000,None,None,None,None,5958000,6450000,None,0,None,0,6673000,None,None,None,None,0,0,None,None,None,None,0,None,None,None,165022000,2011Q3
49,USD,12323000,None,None,None,None,3197000,9425000,None,0,None,0,-7312000,None,None,None,None,0,0,None,None,None,None,0,None,None,None,65993000,2011Q2
50,USD,4670000,None,None,None,None,3232000,9140000,None,None,None,None,200000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-114487000,2011Q1
51,USD,-7400000,None,None,None,None,4028000,111832000,None,None,None,None,330021000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-4550000,2010Q4
52,USD,-9337000,None,None,None,None,4009000,71069000,None,None,None,None,43127000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-16182000,2010Q3
53,USD,-31456000,None,None,None,None,4025000,27768000,None,None,None,None,59456000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-28017000,2010Q2
54,USD,-19706000,None,None,None,None,4501000,9342000,None,None,None,None,28602000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-20481000,2010Q1
55,USD,-967000,None,None,None,None,4620000,27738000,None,None,None,None,3504000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-536156000,2009Q4
56,USD,None,None,None,None,None,None,314103000,None,None,None,None,348424000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,8390000,2008Q4
57,USD,None,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,8264000,2008Q2
58,USD,None,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,8604000,2008Q1
