,Quarter,1. open,2. high,3. low,4. close,5. volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime,reportedCurrency_x,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome_x,reportedCurrency_y,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome_y
16,2018Q1,1104.4827868852458,1116.6176885245902,1091.2800163934428,1103.9903278688525,1816414.7540983607,0.485,0.498,-0.013,-2.6104,post-market,USD,17679000000,31146000000,13467000000,13467000000,7633000000,5639000000,5039000000,10678000000,None,-30000000,None,30000000,31122000000,212000000,None,1986000000,10543000000,1142000000,30000000,9401000000,9821000000,10573000000,9591000000,9401000000,USD,206935000000,123761000000,12658000000,102885000000,636000000,16814000000,83174000000,48845000000,18956000000,20671000000,2809000000,17862000000,104645000000,12476000000,90227000000,3426000000,2004000000,46110000000,25394000000,3526000000,1911000000,1329000000,1300000000,20322000000,None,3944000000,29000000,3944000000,1244000000,18943000000,3149000000,160825000000,None,120008000000,41487000000,694945000,USD,11642000000,None,None,-890000000,-1459000000,1986000000,7299000000,-1700000000,-1669000000,9401000000,-7846000000,-2018000000,None,2173000000,2173000000,None,None,None,None,None,None,None,-2173000000,None,1943000000,165000000,9401000000
17,2018Q2,1079.36734375,1090.51671875,1070.059609375,1080.68515625,1651970.515625,0.6665,0.466,0.2005,43.0258,post-market,USD,18774000000,32657000000,13883000000,13883000000,3045000000,5782000000,5114000000,10896000000,None,-27000000,None,27000000,33145000000,49000000,None,2114000000,4215000000,1020000000,27000000,3195000000,2340000000,4242000000,10392000000,3195000000,USD,211610000000,124157000000,14148000000,102254000000,698000000,17244000000,87453000000,51672000000,20204000000,20557000000,2662000000,17895000000,191247000000,12787000000,88106000000,3961000000,3052000000,49610000000,29903000000,3369000000,None,None,0,19228000000,None,3947000000,3981000000,3947000000,-53000000,7914000000,3237000000,162000000000,None,121282000000,42243000000,695946000,USD,10132000000,None,None,5762000000,827000000,2114000000,5477000000,312000000,5210000000,3195000000,-3374000000,-4937000000,None,2052000000,2052000000,None,None,None,None,None,None,None,-2052000000,None,1490000000,-331000000,3195000000
18,2018Q3,1197.0642857142857,1207.3902380952381,1187.021380952381,1197.94,1422808.9523809524,0.227,0.477,-0.25,-52.4109,post-market,USD,19459000000,33740000000,14281000000,14281000000,8625000000,5917000000,5232000000,11149000000,None,-28000000,None,28000000,34059000000,49000000,None,2355000000,10083000000,891000000,28000000,9192000000,9041000000,10111000000,11168000000,9192000000,USD,221538000000,129702000000,13443000000,106416000000,1212000000,18067000000,91836000000,55300000000,21828000000,20343000000,2448000000,17895000000,200680000000,12673000000,92973000000,4007000000,2838000000,51698000000,31301000000,3789000000,None,None,0,19079000000,None,3948000000,None,3948000000,-52000000,7993000000,3214000000,169840000000,None,128405000000,43111000000,695957000,USD,13210000000,None,None,2150000000,1154000000,2355000000,5282000000,670000000,1480000000,9192000000,-10408000000,-3478000000,None,2200000000,2200000000,None,None,None,None,None,None,None,-2200000000,None,-705000000,-29000000,9192000000
19,2018Q4,1073.5566666666668,1088.8546825396825,1055.8281587301587,1070.5084126984127,1991876.1587301588,0.653,0.52,0.133,25.5769,post-market,USD,21358000000,39276000000,17918000000,17918000000,8221000000,7121000000,6034000000,13155000000,None,-29000000,None,29000000,40666000000,68000000,None,2580000000,10072000000,1124000000,29000000,8948000000,8318000000,10101000000,11412000000,8948000000,USD,232792000000,135676000000,16701000000,109140000000,1107000000,21193000000,97116000000,59719000000,22788000000,20108000000,2220000000,17888000000,199328000000,15159000000,92439000000,4236000000,2693000000,55164000000,34620000000,4378000000,2180000000,None,0,19280000000,None,4062000000,None,3950000000,4062000000,7754000000,3545000000,177628000000,None,134885000000,45049000000,695556000,USD,12987000000,None,None,3030000000,2854000000,2580000000,7081000000,2887000000,2869000000,8948000000,-6876000000,-2746000000,None,2650000000,2650000000,None,None,None,None,None,None,None,-2650000000,None,3258000000,-107000000,8948000000
20,2019Q1,1119.9084426229508,1130.6604918032785,1110.1707049180327,1122.1524590163935,1496856.2786885246,0.6385,0.541,0.0975,18.0222,post-market,USD,20327000000,36339000000,16012000000,16012000000,6608000000,5993000000,6029000000,12022000000,None,-35000000,1417000000,35000000,36453000000,53000000,None,2613000000,8146000000,1489000000,35000000,6657000000,7213000000,8181000000,11336000000,6657000000,USD,245349000000,138207000000,19148000000,113488000000,1053000000,19260000000,107142000000,60528000000,24730000000,20006000000,2063000000,17943000000,204944000000,15774000000,94340000000,4406000000,2547000000,61877000000,34910000000,3710000000,None,None,0,17479000000,114000000,3952000000,1142000000,3952000000,-48000000,9388000000,1417000000,183472000000,None,138720000000,46532000000,694782000,USD,12000000000,374000000,None,-735000000,-907000000,2613000000,4638000000,-1172000000,-641000000,6657000000,-5388000000,-4183000000,None,3025000000,3025000000,None,None,None,None,None,None,None,-3025000000,None,2447000000,18000000,6657000000
21,2019Q2,1153.5307936507936,1161.9345555555553,1144.3630476190476,1153.809365079365,1512432.1904761905,0.475,0.5315,-0.0565,-10.6303,post-market,USD,21749000000,39045000000,17296000000,17296000000,9180000000,6255000000,6213000000,12468000000,None,-25000000,653000000,25000000,39070000000,53000000,None,2835000000,12147000000,2200000000,25000000,9947000000,10636000000,12172000000,12262000000,9947000000,USD,257101000000,147437000000,16587000000,121056000000,964000000,21317000000,109664000000,64891000000,26539000000,19902000000,1902000000,18000000000,222621000000,13312000000,104469000000,4100000000,2461000000,64909000000,37000000000,3925000000,2104000000,None,0,18821000000,120000000,3954000000,1064000000,3954000000,-46000000,9521000000,1499000000,192192000000,None,145346000000,47937000000,694050000,USD,12627000000,396000000,None,1276000000,1057000000,2835000000,6126000000,1146000000,1479000000,9947000000,-10455000000,-4746000000,None,3577000000,3577000000,None,None,None,None,None,None,None,-3577000000,None,3425000000,None,9947000000
22,2019Q3,1181.65515625,1192.25909375,1173.111703125,1183.39984375,1391568.34375,0.7105,0.5665,0.144,25.4192,post-market,USD,22935000000,40503000000,17568000000,17568000000,9177000000,7200000000,6554000000,13754000000,None,-23000000,631000000,23000000,40526000000,68000000,None,2920000000,8628000000,1560000000,23000000,7068000000,6963000000,8651000000,13009000000,7068000000,USD,263044000000,148358000000,16032000000,121177000000,1401000000,21081000000,114686000000,69252000000,28153000000,19816000000,1747000000,18069000000,124290000000,13688000000,105145000000,4699000000,2225000000,68075000000,39224000000,4142000000,2043000000,None,0,19185000000,126000000,3956000000,None,3956000000,-44000000,9191000000,1637000000,194969000000,None,147125000000,49040000000,690906000,USD,15466000000,442000000,None,1851000000,612000000,2920000000,6732000000,1000000,1503000000,7068000000,-8945000000,-6954000000,None,5696000000,5696000000,None,None,None,None,None,None,None,-5696000000,None,-106000000,None,7068000000
23,2019Q4,1289.27640625,1298.65196875,1282.711671875,1290.56515625,1278190.125,0.506,0.623,-0.117,-18.7801,post-market,USD,24855000000,45569000000,21020000000,21020000000,9266000000,8567000000,7222000000,15789000000,None,-17000000,621000000,17000000,45892000000,-72000000,None,3413000000,10704000000,33000000,17000000,10671000000,10635000000,10721000000,13695000000,10671000000,USD,275909000000,152578000000,18498000000,119675000000,999000000,27492000000,123331000000,73646000000,30561000000,22603000000,1979000000,20624000000,119195000000,14378000000,101177000000,4412000000,2342000000,74467000000,45221000000,5561000000,2266000000,1199000000,0,19032000000,685000000,4685000000,0,3958000000,4685000000,36553000000,2534000000,201442000000,None,152122000000,50552000000,688335000,USD,14427000000,449000000,None,5243000000,4199000000,3413000000,6052000000,4365000000,5481000000,10671000000,-4703000000,-7326000000,None,6098000000,6098000000,None,1015000000,1015000000,None,None,None,None,-6098000000,None,2398000000,None,10671000000
24,2020Q1,1353.4270967741934,1374.3750806451615,1334.587,1356.975806451613,2288846.306451613,0.7675,0.6295,0.138,21.9222,post-market,USD,22177000000,41159000000,18982000000,18982000000,7977000000,7380000000,6820000000,14200000000,None,-21000000,586000000,21000000,41310000000,18000000,None,3108000000,7757000000,921000000,21000000,6836000000,6971000000,7778000000,11769000000,6836000000,USD,273403000000,147018000000,19644000000,117229000000,889000000,23735000000,126385000000,87966000000,None,22574000000,1840000000,20734000000,114470000000,13567000000,97585000000,5165000000,2748000000,69744000000,40189000000,4099000000,2288000000,1312000000,0,19079000000,1154000000,5512000000,1312000000,3960000000,-40000000,32840000000,2427000000,203659000000,None,151068000000,53688000000,683972000,USD,11451000000,430000000,None,-4329000000,-2487000000,3108000000,6005000000,-2602000000,-4517000000,6836000000,-1847000000,-8186000000,None,8496000000,8496000000,None,None,None,None,None,None,None,-8496000000,None,1418000000,None,6836000000
25,2020Q2,1348.2519365079365,1365.4899523809524,1331.6094761904762,1349.5599206349204,1857997.5714285714,0.4935,0.519,-0.0255,-4.9133,post-market,USD,19744000000,38297000000,18553000000,18553000000,6383000000,6486000000,6875000000,13361000000,None,-13000000,433000000,13000000,38761000000,-147000000,None,3386000000,8277000000,1318000000,13000000,6959000000,7760000000,8290000000,9926000000,6959000000,USD,278492000000,149069000000,17742000000,121080000000,815000000,21595000000,129423000000,78748000000,None,22521000000,1697000000,20824000000,122355000000,14161000000,103338000000,5579000000,2731000000,71170000000,43658000000,4064000000,2458000000,1136000000,0,27512000000,1171000000,5297000000,997000000,2963000000,-37000000,36117000000,1992000000,207322000000,None,151681000000,55937000000,681215000,USD,13993000000,493000000,None,1689000000,324000000,3386000000,5391000000,80000000,1367000000,6959000000,-8448000000,-7498000000,None,6852000000,6852000000,None,None,None,None,None,None,None,-6852000000,None,1075000000,None,6959000000
26,2020Q3,1524.8071046875,1544.7486703125,1506.172184375,1525.829375,1768907.984375,0.51,0.42,0.09,21.4286,post-market,USD,25013000000,46130000000,21117000000,21117000000,11213000000,6987000000,6856000000,13843000000,None,-48000000,460000000,48000000,46178000000,-88000000,None,3478000000,13359000000,2112000000,48000000,11247000000,11589000000,13407000000,14954000000,11247000000,USD,299243000000,164369000000,20129000000,132596000000,835000000,25513000000,134874000000,81636000000,None,22390000000,1520000000,20870000000,134397000000,15956000000,112467000000,5425000000,3274000000,86323000000,48200000000,4391000000,2756000000,1121000000,0,38123000000,1074000000,14899000000,999000000,13900000000,-173000000,39972000000,2194000000,212920000000,None,155567000000,57307000000,677724000,USD,17003000000,527000000,None,3690000000,3834000000,3478000000,5406000000,3601000000,3726000000,11247000000,-15197000000,546000000,None,7897000000,7897000000,None,None,None,None,None,None,None,-7897000000,None,5314000000,None,11247000000
27,2020Q4,1685.786709375,1706.114921875,1669.884728125,1687.30171875,1650549.921875,0.82,0.56,0.26,46.4286,post-market,USD,30038000000,56118000000,26080000000,26080000000,15651000000,8145000000,7022000000,15167000000,None,-53000000,386000000,53000000,-125497000000,-420000000,None,3725000000,18689000000,3462000000,53000000,15227000000,15814000000,18742000000,19292000000,15227000000,USD,319616000000,174296000000,26465000000,136694000000,728000000,31384000000,146720000000,84749000000,41713000000,22620000000,1445000000,21175000000,138984000000,22103000000,110229000000,5490000000,3953000000,97072000000,56834000000,5589000000,3024000000,1100000000,0,40238000000,1100000000,15319000000,999000000,14000000000,15319000000,47008000000,2269000000,222544000000,None,163401000000,58510000000,675222000,USD,22677000000,554000000,None,5783000000,6183000000,3725000000,5479000000,5445000000,5237000000,15227000000,-7281000000,-9270000000,None,7904000000,7904000000,None,None,None,None,None,None,None,-7904000000,None,6126000000,None,15227000000
28,2021Q1,1980.1859016393441,2007.3807606557377,1959.8536098360655,1984.172131147541,1590020.9180327868,1.12,0.8,0.32,40,post-market,USD,31211000000,55314000000,24103000000,24103000000,16437000000,7289000000,7485000000,14774000000,None,-76000000,345000000,76000000,55519000000,373000000,None,2753000000,21283000000,3353000000,76000000,17930000000,17294000000,21359000000,19248000000,17930000000,USD,327095000000,172137000000,26622000000,135104000000,888000000,28499000000,68952000000,87606000000,None,24164000000,1823000000,22341000000,142520000000,26894000000,108482000000,7646000000,4167000000,97082000000,55453000000,4801000000,3220000000,1090000000,0,41629000000,1052000000,14000000000,1000000000,13000000000,-165000000,46074000000,2146000000,230013000000,None,170580000000,59436000000,671094000,USD,19289000000,None,None,-4375000000,-2801000000,2753000000,5942000000,-2794000000,-3967000000,17930000000,-5383000000,-13606000000,None,11395000000,11395000000,None,None,None,None,None,None,None,-11395000000,None,300000000,None,17930000000
29,2021Q2,2380.2289984126983,2399.209865079365,2364.2255539682537,2383.6392063492062,1327124.650793651,1.31,0.79,0.52,65.8228,post-market,USD,35653000000,61880000000,26227000000,26227000000,19361000000,8617000000,7675000000,16292000000,None,-76000000,389000000,76000000,61960000000,-90000000,None,2945000000,21985000000,3460000000,76000000,18525000000,18718000000,22061000000,22174000000,18525000000,USD,335387000000,175697000000,23630000000,135863000000,907000000,32851000000,69593000000,91697000000,None,24032000000,1626000000,22406000000,140465000000,27132000000,112233000000,6076000000,4298000000,97822000000,55741000000,4708000000,6425000000,117000000,0,42081000000,1491000000,12400000000,0,12400000000,-163000000,46281000000,2270000000,237565000000,None,176939000000,60436000000,667637000,USD,21890000000,None,None,3598000000,3860000000,2945000000,5496000000,3661000000,4005000000,18525000000,-9074000000,-15991000000,None,12796000000,12796000000,None,None,None,None,None,None,None,-12796000000,None,18525000000,None,18525000000
30,2021Q3,2755.6663171874998,2775.4373546875,2736.203553125,2757.40390625,1042285.8125,1.36,0.96,0.4,41.6667,post-market,USD,37307000000,64928000000,27621000000,27621000000,21031000000,8772000000,7694000000,16466000000,None,-77000000,387000000,77000000,65005000000,8000000,None,3304000000,23064000000,4128000000,77000000,18936000000,18338000000,23141000000,24426000000,18936000000,USD,347403000000,184110000000,23719000000,142003000000,1278000000,34800000000,70162000000,94631000000,None,24172000000,1549000000,22623000000,146960000000,27601000000,118284000000,6029000000,4276000000,102836000000,61782000000,4616000000,6978000000,249000000,0,41054000000,1447000000,12300000000,0,12300000000,-159000000,52097000000,2250000000,244567000000,None,183782000000,61193000000,664682000,USD,25539000000,None,None,3072000000,3664000000,3304000000,6819000000,2409000000,1664000000,18936000000,-10050000000,-15254000000,None,12610000000,12610000000,None,None,None,None,None,None,None,-12610000000,None,18936000000,None,18936000000
