,Quarter,1. open,2. high,3. low,4. close,5. volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime,reportedCurrency_x,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome_x,reportedCurrency_y,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome_y
56,2013Q4,125.7228125,126.28328125,125.10125000000001,125.7096875,383139.0625,2.8,2.15,0.65,30.2326,pre-market,JPY,1237851000000,6585044000000,5347193000000,5347193000000,600509000000,637342000000,0,637342000000,None,None,None,5583000000,None,None,None,319142000000,678956000000,207748000000,None,0,None,638228000000,957370000000,525464000000,JPY,40518144000000,14796226000000,1843393000000,1843393000000,1889127000000,None,25721918000000,71637000000,None,None,None,None,None,None,1729724000000,1372872000000,None,25634682000000,14097742000000,None,None,None,7760103000000,11536940000000,None,81833000000,None,None,16373017000000,1066927000000,None,14210095000000,-10693000000,13819263000000,397050000000,1585587000,JPY,759923000000,None,None,None,None,319142000000,633671000000,None,None,None,None,80505000000,None,None,None,None,205984000000,205984000000,None,None,None,None,-16998000000,None,None,None,560494000000
57,2014Q1,115.52196721311476,115.99131147540984,114.8360655737705,115.40016393442623,433762.2950819672,3.23,2.46,0.77,31.3008,pre-market,JPY,1238020000000,6569382000000,5331362000000,5331362000000,436128000000,801892000000,910517000000,801892000000,None,None,None,4309000000,None,None,None,336530000000,418599000000,122880000000,None,1991648000000,None,435683000000,772213000000,297032000000,JPY,41437473000000,15717706000000,2041170000000,2041170000000,1894704000000,None,25719767000000,74202000000,None,None,None,None,None,9391037000000,2227084000000,1538400000000,None,26218486000000,14680685000000,None,None,None,7780483000000,11537801000000,None,82996000000,16493565000000,None,16327393000000,2875138000000,None,14469148000000,-10911000000,14116295000000,397050000000,1585641500,JPY,919024000000,None,None,None,None,336530000000,738099000000,None,-110819000000,None,-4336248000000,264467000000,None,None,None,None,64270000000,64270000000,None,None,None,None,55058000000,None,None,None,366018000000
58,2014Q2,111.36238095238095,111.73428571428572,110.86952380952381,111.35301587301586,420301.5873015873,0.366,None,0,None,pre-market,JPY,1295513000000,6390688000000,5095175000000,5095175000000,692728000000,602785000000,0,602785000000,None,None,None,3914000000,None,None,None,316004000000,771826000000,259973000000,None,0,None,762755000000,1078759000000,587774000000,JPY,41455717000000,15574274000000,2175052000000,2175052000000,1972856000000,None,25881443000000,76674000000,None,None,None,None,None,None,2192004000000,1451832000000,None,25997429000000,14319916000000,None,None,None,7849659000000,11677513000000,None,85290000000,None,None,16487737000000,987082000000,None,14714033000000,-9895000000,14267629000000,397050000000,1585600500,JPY,875596000000,None,None,None,None,316004000000,796300000000,None,None,None,None,-23740000000,None,None,None,None,316977000000,316977000000,None,None,None,None,863826000000,None,None,None,617182000000
59,2014Q3,117.90390625,118.282234375,117.4328296875,117.85484375,270759.640625,0.3109,None,0,None,post-market,JPY,1302539000000,6554909000000,5252370000000,5252370000000,659218000000,643321000000,0,643321000000,None,None,None,5555000000,None,None,None,332229000000,737348000000,233618000000,None,0,None,691727000000,1023956000000,539062000000,JPY,43784073000000,16258236000000,2309322000000,2309322000000,2062906000000,None,27525837000000,75788000000,None,None,None,None,None,None,2282133000000,1467809000000,None,27547541000000,15302315000000,None,None,None,8645296000000,12245226000000,None,82062000000,None,None,17644167000000,1026711000000,None,15469555000000,-9520000000,14681771000000,397050000000,1580456000,JPY,775710000000,None,None,None,None,332229000000,761317000000,None,None,None,None,202997000000,None,None,None,None,2891000000,2891000000,None,None,None,None,-168285000000,None,None,None,564297000000
60,2014Q4,120.07890625,120.6777640625,119.4887421875,120.13046875,418850.8125,0.3168,2.15,-1.8332,-85.2651,post-market,JPY,1452228000000,7170017000000,5717789000000,5717789000000,762880000000,689348000000,0,689348000000,None,None,None,7308000000,None,None,None,369403000000,846461000000,296113000000,None,0,None,813644000000,1183047000000,600027000000,JPY,46722224000000,17016614000000,2398166000000,2398166000000,2133775000000,None,29705610000000,75175000000,None,None,None,None,None,None,2142423000000,1514900000000,None,29594075000000,16076052000000,None,None,None,9267143000000,13518023000000,None,83296000000,None,None,19250175000000,1196970000000,None,16316058000000,-10272000000,15044056000000,397050000000,1580909000,JPY,686305000000,None,None,None,None,369403000000,815745000000,None,None,None,None,-38550000000,None,None,None,None,237956000000,237956000000,None,None,None,None,-186278000000,None,None,None,635489000000
61,2015Q1,133.42475409836067,134.07045737704917,132.8930606557377,133.4944262295082,327162.8032786885,0.2355,2.46,-2.2245,-90.4268,post-market,JPY,1342565000000,7118907000000,5776342000000,5776342000000,635738000000,271677000000,1004547000000,706827000000,None,None,None,6094000000,None,None,None,391439000000,537193000000,103765000000,None,2307904000000,None,559433000000,950872000000,446475000000,JPY,47729830000000,17936397000000,2284557000000,2284557000000,2137618000000,None,29793433000000,77490000000,None,None,None,None,None,10568870000000,2931420000000,1783572000000,None,30082501000000,16431496000000,None,None,None,8963492000000,13651005000000,None,83481000000,184485000000,None,18977887000000,2758947000000,None,16788131000000,-10216000000,15591947000000,397050000000,1574055500,JPY,1348142000000,None,None,None,None,391439000000,984206000000,None,-110819000000,None,-3813490000000,165338000000,None,None,None,None,158903000000,158903000000,None,None,None,None,6449000000,None,None,None,490936000000
62,2015Q2,137.85460317460317,138.39278253968254,137.37905555555554,137.84968253968256,251051.80952380953,0.3357,2.59,-2.2543,-87.0386,pre-market,JPY,1430483000000,6987648000000,5557165000000,5557165000000,756001000000,674482000000,2176000000,674482000000,None,None,None,4396000000,None,None,None,381526000000,845259000000,267957000000,None,0,None,815467000000,1196993000000,646394000000,JPY,48821479000000,18172357000000,2287654000000,2287654000000,2201802000000,None,30649122000000,79440000000,None,None,None,None,None,None,2613992000000,2271106000000,None,30751512000000,16746464000000,None,None,None,9411894000000,14005048000000,None,83990000000,None,None,19667125000000,1214585000000,None,17205009000000,-10023000000,15844989000000,397050000000,1574208000,JPY,1123375000000,None,None,None,None,381526000000,1057673000000,None,None,None,None,-90447000000,None,None,None,None,393352000000,393352000000,None,None,None,None,1998000000,None,None,None,678204000000
63,2015Q3,125.5575,126.1382171875,124.5932828125,125.390625,369896.03125,0.3216,2.94,-2.6184,-89.0612,post-market,JPY,1553467000000,7103840000000,5550373000000,5550373000000,827404000000,726063000000,2246000000,726063000000,None,None,None,15262000000,None,None,None,403179000000,829892000000,248411000000,None,0,None,842752000000,1245931000000,611718000000,JPY,48574586000000,18825107000000,2690851000000,2690851000000,2195186000000,None,29749479000000,80226000000,None,None,None,None,None,None,2884813000000,2654380000000,None,30703917000000,16479303000000,None,None,None,9301881000000,14224614000000,None,85142000000,None,None,19502731000000,1128233000000,None,17039650000000,-12286000000,16454247000000,397050000000,1588765500,JPY,834148000000,None,None,None,None,403179000000,996571000000,None,None,None,None,753651000000,None,None,None,None,3283000000,3283000000,None,None,None,None,-247817000000,None,None,None,642241000000
64,2015Q4,123.7271875,124.2243265625,123.077140625,123.65046875,278172.828125,0.332,None,0,None,pre-market,JPY,1452940000000,7339882000000,5886942000000,5886942000000,722266000000,730674000000,529800000000,730674000000,None,None,None,9644000000,None,None,None,444724000000,777761000000,220455000000,None,0,None,791165000000,1235889000000,627965000000,JPY,48922991000000,18179547000000,2486250000000,2486250000000,2104725000000,None,30743444000000,81893000000,None,None,None,None,None,None,2726923000000,2371163000000,None,30775126000000,16492399000000,None,None,None,9432634000000,14282727000000,None,84400000000,None,None,19583276000000,1227262000000,None,17287409000000,-11407000000,16369731000000,397050000000,1573515500,JPY,1108350000000,None,None,None,None,444724000000,994280000000,None,None,None,None,-532336000000,None,None,None,None,312601000000,312601000000,None,None,None,None,-300594000000,None,None,None,663372000000
65,2016Q1,110.59909836065574,111.19896065573771,109.54907213114754,110.44426229508197,448764.6721311475,0.2415,None,0,None,post-market,JPY,1360763000000,6971748000000,5610985000000,5610985000000,548300000000,323427000000,1055672000000,812463000000,None,None,None,6101000000,None,None,None,396408000000,530469000000,141446000000,None,2434211000000,None,574973000000,971381000000,426617000000,JPY,47427597000000,18209553000000,2939428000000,2939428000000,2061511000000,None,29218044000000,86643000000,None,None,None,None,None,10306508000000,2543423000000,2300952000000,None,29819190000000,16124456000000,None,None,None,8521088000000,13694734000000,None,86925000000,150163000000,None,18293153000000,5180964000000,None,16746935000000,-14262000000,16794240000000,397050000000,1553351500,JPY,1394984000000,None,None,None,None,396408000000,1010692000000,None,-68912000000,None,-3182544000000,-554439000000,None,None,None,None,704728000000,704728000000,None,None,None,None,-231760000000,None,None,None,450394000000
66,2016Q2,102.809375,103.29288125,102.1537625,102.71921875,514198.375,0.3488,None,0,None,pre-market,JPY,1309887000000,6589113000000,5279226000000,5279226000000,642230000000,667657000000,2667000000,667657000000,None,None,None,4923000000,None,None,None,382289000000,677056000000,187825000000,None,0,None,711284000000,1093573000000,552465000000,JPY,44524374000000,16592413000000,3274258000000,3274258000000,1958499000000,None,27931961000000,90500000000,None,None,None,None,None,None,2722771000000,1010077000000,None,27568181000000,15390130000000,None,None,None,8064924000000,12178051000000,None,88254000000,None,None,17134780000000,1108825000000,None,16127808000000,-17033000000,17010079000000,397050000000,1542273000,JPY,1178213000000,None,None,None,None,382289000000,960066000000,None,-246326000000,None,-558708000000,-164483000000,None,None,None,None,335368000000,335368000000,None,None,None,None,-147334000000,None,None,None,579231000000
67,2016Q3,114.48421875,114.9184671875,113.9695890625,114.46515624999999,369376.4375,0.2535,None,0,None,post-market,JPY,1169995000000,6481420000000,5311425000000,5311425000000,474635000000,695360000000,2593000000,695360000000,None,None,None,6190000000,None,None,None,384755000000,499478000000,167099000000,None,0,None,504270000000,889025000000,393708000000,JPY,43776105000000,15653139000000,2767004000000,2767004000000,2058076000000,None,28122966000000,91778000000,None,None,None,None,None,None,2490990000000,756009000000,None,26817293000000,15018262000000,None,None,None,8154997000000,11799031000000,None,86019000000,None,None,16861060000000,1029213000000,None,16391908000000,-17963000000,17401371000000,397050000000,1531461024,JPY,396163000000,None,None,None,None,384755000000,831028000000,None,-246326000000,None,-476216000000,-402026000000,None,None,None,None,3314000000,3314000000,None,None,None,None,-358269000000,None,None,None,410774000000
68,2016Q4,116.42603174603175,116.97296825396825,116.07942380952382,116.53015873015872,215879.07936507938,2.48,None,0,None,post-market,JPY,1116520000000,7084187000000,5967667000000,5967667000000,438586000000,677934000000,1538000000,677934000000,None,None,None,8475000000,None,None,None,407699000000,587538000000,170320000000,None,0,None,525570000000,933269000000,486531000000,JPY,48111485000000,17038147000000,2550786000000,2550786000000,2212269000000,None,31073338000000,87319000000,None,None,None,None,None,None,2692901000000,966220000000,None,30205834000000,16888016000000,None,None,None,9564924000000,13317818000000,None,84615000000,None,None,19446199000000,1284669000000,None,17293229000000,-12974000000,17205489000000,397050000000,1524780000,JPY,586912000000,None,None,None,None,407699000000,819072000000,None,-246326000000,None,-1124284000000,189342000000,None,None,None,None,302805000000,302805000000,None,None,None,None,-104509000000,None,None,None,506825000000
69,2017Q1,114.80645161290323,115.15505806451613,114.37481451612904,114.79274193548386,231993.66129032258,2.87,None,0,None,post-market,JPY,1266455000000,7442473000000,6176018000000,6176018000000,438921000000,827534000000,243628000000,827534000000,None,None,None,9765000000,None,None,None,436207000000,429753000000,103656000000,None,1926985000000,None,448453000000,884660000000,398405000000,JPY,48750186000000,17833695000000,2995075000000,2995075000000,2388617000000,None,30916491000000,91528000000,None,None,None,None,None,10694521000000,2904252000000,796297000000,None,30567110000000,17318965000000,None,None,None,9244131000000,13248145000000,None,88965000000,228599000000,None,19155727000000,5561751000000,None,17514812000000,-14435000000,17601070000000,397050000000,1513300000,JPY,1252949000000,None,None,None,None,436207000000,931271000000,None,-68912000000,None,-2969939000000,2002000000,None,None,None,None,1000000,1000000,None,None,None,None,-93874000000,None,None,None,430155000000
70,2017Q2,106.8747619047619,107.16110158730159,106.49433650793651,106.80825396825396,267617.22222222225,2.4,None,0,None,post-market,JPY,1294543000000,7047606000000,5753063000000,5753063000000,574294000000,720249000000,2439000000,720249000000,None,None,None,4388000000,None,None,None,400618000000,679348000000,185398000000,None,631752000000,None,660945000000,1061563000000,613056000000,JPY,49456031000000,18062537000000,2940829000000,2940829000000,2456712000000,None,31393494000000,91083000000,None,None,None,None,None,21131280000000,2985782000000,867313000000,None,30918705000000,17184636000000,None,None,None,9257422000000,13734069000000,None,91816000000,19577583000000,None,19577583000000,1324386000000,None,17874283000000,-14300000000,17883709000000,397050000000,1511141500,JPY,1072365000000,None,None,None,None,400618000000,872490000000,None,-171148000000,None,-1017778000000,-109722000000,None,None,None,None,329693000000,329693000000,None,None,None,None,653000000,None,None,None,631752000000
71,2017Q3,113.32555555555555,113.65931111111112,113.04202222222222,113.39396825396825,198183.0,202.84,None,0,None,post-market,JPY,1280582000000,7143601000000,5863019000000,5863019000000,522247000000,758335000000,2449000000,758335000000,None,None,None,9153000000,None,None,None,433657000000,572825000000,188849000000,None,-1414039000000,None,550950000000,984607000000,458272000000,JPY,50253031000000,18125724000000,2814337000000,2814337000000,2491575000000,None,32127307000000,92189000000,None,None,None,None,None,21719159000000,3072194000000,889278000000,None,31336394000000,17322490000000,None,None,None,9393193000000,14013904000000,None,93242000000,4249353000000,None,19896017000000,1305107000000,None,18253494000000,-16477000000,18338719000000,397050000000,1498922500,JPY,965891000000,None,None,None,None,433657000000,899582000000,None,-171148000000,None,-918532000000,-192289000000,None,None,None,None,2927000000,2927000000,None,None,None,None,-249074000000,None,None,None,481217000000
72,2017Q4,124.62714285714286,124.9812380952381,124.2528253968254,124.66968253968255,147514.6349206349,152.87,None,0,None,pre-market,JPY,1407617000000,7605767000000,6198150000000,6198150000000,673645000000,733972000000,2344000000,733972000000,None,None,None,6508000000,None,None,None,446648000000,750940000000,-95938000000,None,1752973000000,None,737512000000,1184160000000,941849000000,JPY,51216462000000,18504632000000,2746661000000,2746661000000,2542307000000,None,32711830000000,92851000000,None,None,None,None,None,22225214000000,3044140000000,1018119000000,None,31534973000000,17792506000000,None,None,None,9872638000000,13742467000000,None,93104000000,4321512000000,None,20364476000000,1358981000000,None,18996488000000,-16360000000,18984330000000,397050000000,1495053500,JPY,805625000000,None,None,None,None,446648000000,849345000000,None,-171148000000,None,-973434000000,88228000000,None,None,None,None,297199000000,297199000000,None,None,None,None,15161000000,None,None,None,970686000000
73,2018Q1,134.1245901639344,134.8616393442623,133.14491803278688,134.03147540983608,217340.29508196723,5.83,None,0,None,pre-market,JPY,1507615000000,7582536000000,6074921000000,6074921000000,629676000000,877939000000,249269000000,877939000000,None,None,None,7537000000,None,None,None,453110000000,617316000000,226097000000,None,4744803815.10,None,675944000000,1129054000000,480806000000,JPY,50308249000000,18152656000000,3052269000000,3052269000000,2539789000000,None,32155593000000,96960885783.09,None,0,0,0,None,107073450115.68,2669604000000,833788000000,None,30878147000000,17796891000000,None,None,None,9341190000000,13081256000000,None,5581812172.44,1581330563.29,None,19347564000000,6107005000000,None,18735982000000,-182973700.36,19473464000000,397050000000,1484519000,JPY,1366128000000,None,None,None,None,453110000000,977290000000,None,-246326000000,None,-7085773643.70,-235352000000,None,None,None,None,623195000000,623195000000,None,None,None,None,-214558000000,None,None,None,502451000000
